,x1,x2,x3
1484,-1.3470935,-1.6838669,-4.3780537
1697,-1.7908914,-2.2386143,-5.8203974
1860,-0.9551153,-1.1938941,-3.1041248
1639,-1.1522868,-1.4403584,-3.744932
1287,-0.42126527,-0.5265816,-1.3691121
1242,-0.06888962,-0.08611202,-0.22389126
1606,-0.98523974,-1.2315497,-3.2020292
1538,-0.06127736,-0.0765967,-0.19915143
1694,-0.31299788,-0.39124733,-1.0172431
1954,-1.857944,-2.3224301,-6.038318
1771,-0.4574927,-0.5718659,-1.4868513
1660,-1.5782135,-1.9727669,-5.129194
1197,-0.7467957,-0.9334946,-2.427086
1233,-1.996512,-2.49564,-6.488664
1070,-0.8177125,-1.0221406,-2.6575656
1202,-0.2395935,-0.29949188,-0.7786789
1891,-0.18398231,-0.22997789,-0.59794253
1865,-0.38906738,-0.48633423,-1.264469
1131,-1.1042745,-1.3803432,-3.5888922
1234,-1.4339156,-1.7923945,-4.660226
1961,-0.91266716,-1.140834,-2.9661684
1864,-0.62767154,-0.7845894,-2.0399325
1926,-0.8441848,-1.055231,-2.7436006
1773,-1.104406,-1.3805075,-3.5893192
1621,-1.335281,-1.6691012,-4.339663
1191,-0.4049406,-0.50617576,-1.316057
1433,-0.5954923,-0.7443654,-1.93535
1752,-0.24503917,-0.30629897,-0.7963773
1486,-0.4307658,-0.5384573,-1.3999889
1541,-0.30431688,-0.3803961,-0.9890299
1751,-0.4073186,-0.50914824,-1.3237854
1988,-0.80232364,-1.0029045,-2.6075518
1216,-1.0559216,-1.319902,-3.431745
1713,-0.5434664,-0.679333,-1.7662656
1267,-0.7614577,-0.9518221,-2.4747374
1344,-1.9368885,-2.4211106,-6.2948875
1168,-1.0778952,-1.347369,-3.5031593
1942,-0.87602824,-1.0950353,-2.847092
1563,-0.8160476,-1.0200595,-2.6521547
1281,-1.2013069,-1.5016336,-3.9042473
1955,-0.85559857,-1.0694982,-2.7806954
1274,-1.0290111,-1.286264,-3.3442864
1723,-1.8934524,-2.3668156,-6.153721
1648,-0.840015,-1.0500188,-2.7300487
1821,-2.6484566,-3.3105707,-8.607484
1922,-0.42877427,-0.5359678,-1.3935163
1736,-0.53537023,-0.6692128,-1.7399533
1360,-0.5047543,-0.6309429,-1.6404514
1696,-0.46963626,-0.5870453,-1.5263178
1077,-1.4408611,-1.8010764,-4.682799
1941,-1.2737033,-1.5921292,-4.139536
1306,-0.89165205,-1.114565,-2.897869
1990,-0.40215734,-0.5026967,-1.3070114
1593,-0.36433366,-0.45541707,-1.1840844
1110,-1.3321402,-1.6651752,-4.3294554
1870,-0.42559,-0.5319875,-1.3831675
1743,-0.6998538,-0.87481725,-2.2745247
1934,-0.7375569,-0.9219461,-2.39706
1953,-1.342546,-1.6781825,-4.3632746
1764,-0.2207193,-0.2758991,-0.71733767
1831,-0.8878836,-1.1098545,-2.8856218
1690,-0.35145605,-0.43932006,-1.1422322
1770,-0.26282364,-0.32852954,-0.8541768
1929,-0.15487446,-0.19359307,-0.503342
1206,-1.4099497,-1.7624371,-4.5823364
1420,-1.5490135,-1.9362669,-5.034294
1034,-1.1655585,-1.456948,-3.788065
1852,-0.2467115,-0.3083894,-0.8018124
1101,-0.43691126,-0.54613906,-1.4199616
1282,-0.7052054,-0.88150674,-2.2919176
1734,-0.07729348,-0.09661685,-0.2512038
1340,-0.16337207,-0.20421508,-0.53095925
1503,-1.1228429,-1.4035536,-3.6492395
1452,-0.78171223,-0.9771403,-2.5405648
1940,-0.9406637,-1.1758296,-3.057157
1119,-0.01571965,-0.019649563,-0.051088862
1418,-0.6227026,-0.77837825,-2.0237834
1391,-0.29217902,-0.36522377,-0.94958174
1536,-0.26689577,-0.3336197,-0.86741126
1731,-1.2844878,-1.6056098,-4.1745853
1701,-0.06551438,-0.081892975,-0.21292174
1571,-0.06508317,-0.08135396,-0.21152031
1293,-0.41878456,-0.5234807,-1.3610499
1214,-2.1106932,-2.6383665,-6.8597527
1230,-0.22386947,-0.27983683,-0.7275758
1372,-2.6474118,-3.3092647,-8.604088
1198,-0.63699734,-0.79624665,-2.0702415
1167,-0.27853364,-0.34816706,-0.90523434
1661,-0.7252157,-0.9065196,-2.356951
1683,-0.47595003,-0.59493756,-1.5468376
1717,-0.9085523,-1.1356903,-2.952795
1317,-0.97582346,-1.2197794,-3.1714263
1128,-0.66109234,-0.8263654,-2.14855
1030,-1.658158,-2.0726974,-5.3890133
1899,-0.66697776,-0.83372223,-2.1676779
1258,-1.2282605,-1.5353256,-3.9918466
1309,-0.05789237,-0.07236546,-0.1881502
1227,-0.56090677,-0.7011335,-1.822947
1319,-1.1874354,-1.4842942,-3.859165
1646,-1.0560473,-1.3200592,-3.4321537
