,0
1662,1.0
1883,1.0
1533,1.0
1374,0.0
1839,1.0
1658,1.0
1154,1.0
1415,1.0
1845,1.0
1353,1.0
1413,0.0
1692,1.0
1868,1.0
1332,1.0
1882,1.0
1292,1.0
1777,1.0
1724,1.0
1539,1.0
1440,1.0
1918,1.0
1093,1.0
1455,1.0
1293,1.0
1904,1.0
1131,1.0
1606,1.0
1524,1.0
1334,1.0
1913,1.0
1346,1.0
1425,1.0
1145,1.0
1680,1.0
1809,1.0
1452,1.0
1900,1.0
1764,1.0
1578,1.0
1759,1.0
1589,1.0
1283,1.0
1560,1.0
1869,1.0
1427,1.0
1182,1.0
1607,1.0
1518,1.0
1235,1.0
1206,1.0
1880,1.0
1528,1.0
1326,1.0
1580,1.0
1966,1.0
1144,1.0
1008,1.0
1284,1.0
1248,1.0
1581,1.0
1687,1.0
1128,1.0
1014,1.0
1896,1.0
1666,1.0
1729,1.0
1306,1.0
1731,1.0
1804,1.0
1373,1.0
1236,1.0
1394,1.0
1166,1.0
1141,1.0
1483,1.0
1106,1.0
1681,1.0
1275,1.0
1734,1.0
1302,1.0
1529,1.0
1992,1.0
1305,1.0
1245,1.0
1781,1.0
1717,1.0
1337,1.0
1501,1.0
1001,1.0
1592,1.0
1108,1.0
1643,1.0
1202,1.0
1796,1.0
1268,1.0
1011,1.0
1331,1.0
1259,1.0
1791,1.0
1983,1.0
