,h_post,h_post_individualized
1253,0.9999933962726392,1.0
1428,0.9999933962726392,1.0
1723,0.9999933962726392,1.0
1103,0.9999933962726392,1.0
1267,0.9945591868209879,1.0
1858,0.9999933962726392,1.0
1071,0.5765745546942008,0.9999985694885254
1522,0.9999933962726392,1.0
1859,0.9999933962726392,1.0
1362,0.9129906962177816,1.0
1344,0.9999933962726392,1.0
1659,0.9999933962726392,1.0
1357,0.9999933962726392,1.0
1936,0.9999933962726392,1.0
1531,0.9999933962726392,1.0
1030,0.9999933962726392,1.0
1685,0.9945591868209879,1.0
1354,0.9999933962726392,1.0
1025,0.9999933962726392,1.0
1582,0.9999933962726392,1.0
1607,0.9945591868209879,1.0
1942,0.9999933962726392,1.0
1288,0.9999933962726392,1.0
1655,0.9999933962726392,1.0
1146,0.9999933962726392,1.0
1768,0.9945591868209879,1.0
1654,0.9999933962726392,1.0
1361,0.9999933962726392,1.0
1304,0.9999933962726392,1.0
1628,0.9999933962726392,1.0
1065,0.9999933962726392,1.0
1007,0.9999933962726392,1.0
1601,0.9999933962726392,1.0
1000,0.9999933962726392,1.0
1529,0.9999933962726392,1.0
1733,0.9999933962726392,1.0
1132,0.9999933962726392,1.0
1324,0.9999933962726392,1.0
1736,0.9999933962726392,1.0
1099,0.01250814772146812,1.0
1496,0.9999933962726392,1.0
1302,0.9874898718896109,1.0
1336,0.9999933962726392,1.0
1714,0.9999933962726392,1.0
1930,0.9999933962726392,1.0
1271,0.9999933962726392,1.0
1492,0.9999933962726392,1.0
1975,0.9999933962726392,1.0
1194,0.9999933962726392,1.0
1084,0.9999933962726392,1.0
1960,0.9874898718896109,1.0
1977,0.9999933962726392,1.0
1560,0.9999933962726392,1.0
1069,0.9999933962726392,1.0
1157,0.9999933962726392,1.0
1958,0.9999933962726392,1.0
1218,0.9999933962726392,1.0
1836,0.9999933962726392,1.0
1305,0.9945591868209879,1.0
1902,0.9999933962726392,1.0
1326,0.9999933962726392,1.0
1883,0.9874898718896109,1.0
1313,0.9999933962726392,1.0
1792,0.9999933962726392,1.0
1934,0.9999933962726392,1.0
1578,0.9999933962726392,1.0
1413,0.9999933962726392,1.0
1665,0.9999933962726392,1.0
1681,0.9999933962726392,1.0
1042,0.9999933962726392,1.0
1579,0.9999933962726392,1.0
1139,0.9945591868209879,1.0
1422,0.9999933962726392,1.0
1926,0.08699656894748731,1.0
1717,0.9945591868209879,1.0
1651,0.9999933962726392,1.0
1565,0.9999933962726392,1.0
1308,0.9999933962726392,1.0
1808,0.9999933962726392,1.0
1486,0.9999933962726392,1.0
1528,0.9999933962726392,1.0
1238,0.9945591868209879,1.0
1356,0.9999933962726392,1.0
1549,0.9999933962726392,1.0
1366,0.9999933962726392,1.0
1278,0.9999933962726392,1.0
1190,0.9999933962726392,1.0
1869,0.9999933962726392,1.0
1567,0.9999933962726392,1.0
1490,0.9999933962726392,1.0
1502,0.9999933962726392,1.0
1911,0.9999933962726392,1.0
1900,0.9999933962726392,1.0
1507,0.9945591868209879,1.0
1931,0.9999933962726392,1.0
1260,0.9999933962726392,1.0
1072,0.9999933962726392,1.0
1467,0.9999933962726392,1.0
1470,0.9999933962726392,1.0
1542,0.9945591868209879,1.0
