,x1,x2,x3
1456,0.59871167,0.5733896,2.621457
1848,0.77133775,0.6641722,2.7211788
1147,0.8377472,0.42218402,1.9288049
1128,0.6735959,0.5669949,2.5273888
1462,0.47748587,0.67185736,2.6380863
1868,0.6104799,0.58809984,2.6538198
1202,0.7649981,0.4312476,2.0287447
1356,0.4753389,0.6691736,2.6321821
1821,1.1441389,0.055173635,2.5213819
1096,0.055468615,1.1193358,2.6025386
1182,0.84402525,0.80503154,3.0710695
1764,0.60456395,0.55570495,2.5625508
1490,1.0930073,1.0162592,3.4557703
1823,1.0348212,0.74352646,2.695758
1488,0.76765966,0.4845746,2.186064
1751,3.0194056,3.699257,8.778365
1805,0.6819708,0.6774635,2.8504198
1869,0.56013125,0.60016406,2.5403612
1199,0.70805997,0.58507496,2.547165
1951,0.60547197,0.53183997,2.490048
1306,0.41186062,0.78982574,2.4576168
1900,0.7594845,0.42435566,2.0135825
1042,0.72128046,0.5266006,2.3585212
1305,0.5755135,0.64439183,1.4576621
1005,0.4851044,0.68138045,1.859037
1268,0.18709517,1.033869,1.8145118
1829,0.64092183,0.5511522,1.512535
1282,0.8115355,0.5644193,2.3817227
1779,0.89480317,0.79350394,2.9857087
1049,0.70472753,0.55590945,2.2630007
1960,0.752437,0.44054624,2.0692017
1244,0.6998194,0.57477427,2.5245032
1085,0.28654033,0.8581754,2.587986
1440,0.5074432,0.65930396,2.5704687
1242,0.839255,0.79906875,3.0579512
1501,0.49517518,0.643969,2.5367317
1235,0.7033579,0.52919734,2.3842344
1581,0.67136705,0.5892088,2.5962594
1326,0.66015464,0.5501934,1.8904254
1843,0.6826147,0.42826837,2.5021904
1655,0.701003,0.60125375,2.6027584
1776,0.6669692,0.58371145,2.5841653
1132,0.674469,0.64308625,2.7547896
1298,0.8789042,0.7236303,2.7919867
1484,0.58006376,0.6500798,1.6701754
1704,0.76160145,0.4520018,2.094404
1437,0.76730376,0.4091297,1.9600852
1964,0.52709776,0.65887225,2.3495188
1482,-0.47556043,1.6555495,1.9422089
1627,0.60093546,0.6511693,2.2525725
1777,0.9404534,0.52556676,2.1362467
1808,0.5018118,0.67726475,2.0299823
1961,1.1606414,0.92580175,3.1167638
1720,0.5122578,0.6403223,2.5087092
1256,1.0756692,0.7945864,2.8080902
1133,0.5183566,0.6229458,2.4504807
1284,0.48263147,0.7032894,1.7272365
1668,0.7564349,0.42054364,2.005196
1904,0.9804346,0.42554325,1.7961953
1354,0.64223707,0.6027963,2.6661518
1693,0.5049611,0.6812013,2.038643
1930,0.7249739,0.50621736,2.293678
1174,-0.12211794,1.3223525,2.3891757
1851,1.0268822,0.20860271,2.098926
1903,0.17308673,0.9913584,1.7009885
1796,0.7329222,0.5911527,2.5405362
1057,0.6835242,0.5544052,2.4796915
1473,0.5722708,0.5653385,2.623745
1923,0.516134,0.69516754,2.6693685
1109,1.2744924,1.0681155,3.429854
1253,0.5713131,0.66414136,2.1211112
1513,1.0687368,0.68592095,2.489026
1299,0.87054014,0.66317517,2.6189854
1292,1.4217464,1.1771829,3.6098022
1470,0.6732198,0.54152477,2.4513545
1706,0.49258322,0.66572905,2.604604
1336,0.616048,0.59506,2.669132
1937,0.7433432,0.504179,2.2691936
1624,0.4831553,0.6289441,2.5036771
1030,0.9434653,0.7793316,2.8945296
1968,0.79384536,0.5923067,2.4830747
1928,0.84434557,0.58043194,2.3969502
1255,0.8730471,0.7413089,2.8508797
1189,0.5482119,0.6852648,1.6075826
1781,0.39720815,0.87151015,2.3173223
1474,0.85181165,0.63976455,2.567482
1239,1.6982601,-0.55217487,1.1452153
1246,0.70436215,0.6304527,2.686996
1011,0.53400505,0.6925063,2.043514
1628,0.5257782,0.6572227,2.5458899
1332,0.55496705,0.6937088,2.2261593
1565,0.64787745,0.6348468,2.756663
1460,0.7696938,0.3871172,1.6916579
1397,0.67282104,0.6410263,2.7502577
1491,0.52651685,0.6331461,2.4729214
1250,0.7467181,0.50839764,2.2784748
1894,-0.25869504,1.4766312,1.7885885
1141,-0.445586,1.6180174,2.3996384
1572,0.5495118,0.7118897,2.4861574
1905,0.7750804,0.41885048,2.581471
