,x1,x2,x3
1657,-0.9,-1.0,0.3
1350,0.1,-0.2,1.1
1061,-0.3,-0.8,2.4
1154,0.0,-0.7,0.5
1253,0.0,0.1,0.7
1509,0.1,-0.2,0.4
1685,-0.2,-0.1,2.0
1373,-0.4,-0.4,1.1
1954,0.1,-0.2,0.4
1177,0.1,0.0,1.4
1097,0.0,0.0,1.4
1486,0.0,0.0,2.6
1217,0.1,-0.1,3.3
1286,-0.3,-0.0,3.2
1863,0.0,-0.1,2.8
1498,0.1,-0.2,2.1
1117,0.1,-0.7,-0.0
1987,0.1,-0.6,0.4
1165,-0.5,-0.0,-0.1
1865,-0.1,0.7,2.4
1674,-0.1,-0.0,1.3
1180,-0.1,-0.0,1.7
1290,0.1,-0.1,2.3
1917,-0.0,-0.0,3.3
1861,-0.1,-0.2,0.3
1676,-0.0,-0.1,2.6
1737,-0.1,0.0,2.9
1873,-0.8,-1.0,0.3
1099,-0.3,-0.2,0.2
1077,-0.1,0.1,0.5
1510,0.0,-0.1,1.0
1068,-0.1,-0.0,3.5
1072,0.0,0.0,3.3
1480,0.1,0.0,1.8
1172,-0.1,-0.0,1.2
1329,0.0,-0.0,2.6
1234,-0.0,0.1,2.7
1704,0.0,-0.0,0.9
1872,0.0,-0.3,0.5
1335,0.0,-0.3,5.1
1901,0.0,0.0,1.5
1691,0.3,-1.9,0.6
1700,0.0,0.0,3.0
1807,-0.5,-0.9,0.0
1433,-2.2,-0.0,0.0
1533,-0.1,-0.1,3.1
1351,0.0,-0.0,2.4
1541,0.0,-0.3,0.2
1122,0.1,0.0,6.0
1909,0.0,0.3,5.2
1625,0.0,0.0,0.1
1268,0.0,-0.0,0.1
1542,-0.2,-0.4,1.1
1985,-0.2,-0.1,1.0
1588,0.0,0.0,2.0
1306,0.1,0.0,0.5
1082,0.1,0.1,0.4
1841,0.1,-0.4,1.2
1221,0.1,-0.5,3.9
1980,-0.1,-0.2,1.5
1853,-0.1,-0.0,1.1
1586,0.2,0.0,0.8
1028,0.0,0.0,1.4
1070,0.1,0.1,3.7
1563,-0.4,-0.0,2.7
1767,0.0,0.2,0.9
1523,-0.0,-0.6,0.0
1218,-0.1,0.1,3.3
1947,-0.0,0.1,3.0
1390,-0.1,-0.1,0.7
1376,0.0,-0.2,-0.0
1828,-0.1,-0.3,1.7
1512,0.0,0.0,1.8
1630,0.0,0.1,7.2
1733,-0.2,-0.3,1.8
1292,-0.1,-0.1,0.9
1730,-0.2,-0.0,2.0
1966,-0.1,-0.1,2.8
1923,-0.0,-1.3,1.0
1537,-0.1,-0.2,0.4
1727,-0.0,0.1,1.1
1703,0.1,-0.0,0.9
1246,0.0,-0.1,2.4
1885,0.0,-0.1,0.2
1942,0.0,-0.1,1.4
1552,0.1,0.1,3.4
1132,-0.5,-0.9,0.4
1757,0.2,-0.8,0.7
1225,-0.1,0.0,2.2
1516,0.1,0.0,0.3
1898,-0.0,-0.8,-0.0
1577,0.0,0.0,1.2
1065,0.0,0.0,3.5
1426,0.0,0.2,2.1
1829,-0.1,0.0,1.3
1219,-0.0,-0.0,3.8
1914,-0.2,0.1,0.8
1422,-0.1,0.1,2.0
1880,0.0,0.0,2.3
1855,-1.2,0.0,1.2
