,0
1677,1.0
1510,1.0
1875,1.0
1195,1.0
1016,1.0
1613,1.0
1271,1.0
1482,1.0
1911,1.0
1402,1.0
1118,1.0
1149,1.0
1396,1.0
1453,1.0
1203,1.0
1804,1.0
1263,1.0
1480,1.0
1100,1.0
1068,1.0
1555,1.0
1966,1.0
1276,1.0
1813,1.0
1800,1.0
1382,1.0
1185,1.0
1427,1.0
1587,1.0
1876,1.0
1816,1.0
1495,1.0
1304,1.0
1104,1.0
1468,1.0
1041,1.0
1682,1.0
1635,1.0
1672,1.0
1995,1.0
1955,1.0
1243,1.0
1477,1.0
1802,1.0
1559,1.0
1225,1.0
1436,1.0
1622,1.0
1221,1.0
1386,1.0
1105,1.0
1344,1.0
1292,1.0
1685,1.0
1038,1.0
1408,1.0
1455,1.0
1177,1.0
1918,1.0
1168,1.0
1732,1.0
1478,1.0
1175,1.0
1110,1.0
1278,1.0
1946,1.0
1209,1.0
1321,1.0
1963,1.0
1111,1.0
1605,1.0
1499,1.0
1807,1.0
1975,1.0
1844,1.0
1350,1.0
1703,1.0
1531,1.0
1065,1.0
1365,1.0
1063,1.0
1974,1.0
1697,1.0
1039,1.0
1152,1.0
1215,1.0
1006,1.0
1640,1.0
1914,1.0
1449,1.0
1829,1.0
1923,1.0
1889,1.0
1159,1.0
1593,1.0
1070,1.0
1311,1.0
1542,1.0
1652,1.0
1512,1.0
