ix,goal_cost,intv_cost
1202,1.0,0.9
1658,1.0,3.6999999999999997
1267,1.0,1.7999999999999998
1855,1.0,3.5
1528,1.0,0.5
1970,0.776,0.30000000000000004
1331,1.0,1.8
1002,1.0,0.5
1858,1.0,1.7000000000000002
1133,1.0,1.5
1746,1.0,1.3
1485,1.0,2.1
1055,1.0,3.9000000000000004
1314,1.0,0.4
1319,0.758,3.0
1598,1.0,1.1
1344,0.998,4.3
1290,0.832,0.6
1741,1.0,1.7
1212,1.0,0.7
1242,1.0,0.30000000000000004
1103,0.874,1.9000000000000001
1911,1.0,1.9
1182,1.0,0.5
1387,1.0,0.6
1446,1.0,0.5
1313,1.0,3.8000000000000003
1397,0.76,1.3
1535,0.85,1.1
1814,1.0,2.9
1552,0.916,0.7999999999999999
1585,0.828,1.0
1817,0.98,1.0
1302,1.0,5.2
1410,1.0,1.6
1574,1.0,2.3000000000000003
1938,1.0,1.6
1258,1.0,2.3000000000000003
1529,1.0,2.2
1219,0.824,1.5
1111,1.0,1.3
1072,1.0,0.9
1291,1.0,3.1
1184,0.816,0.8
1731,0.776,2.6
1517,1.0,1.9
1954,1.0,3.8000000000000003
1420,0.992,3.5
1206,1.0,2.7
1697,1.0,4.2
1495,1.0,3.0
1150,1.0,3.0
1827,1.0,1.3
1934,1.0,1.9
1159,1.0,0.4
1201,0.998,2.0
1907,1.0,1.4
1004,1.0,0.1
1462,1.0,0.9
1651,1.0,6.1
1443,0.792,1.1
1587,0.962,2.5
1807,1.0,1.0
1735,0.874,0.5
1973,1.0,2.0
1742,1.0,1.9
1786,1.0,0.5
1216,0.984,2.2
1696,1.0,1.5000000000000002
1888,1.0,0.4
1660,1.0,2.7
1458,1.0,1.9
1093,1.0,1.3
1245,1.0,3.5
1532,1.0,2.8
1036,1.0,2.9
1356,0.754,4.0
1369,1.0,2.2
1084,1.0,2.8000000000000003
1839,1.0,1.1
1293,1.0,0.9
1655,1.0,2.9000000000000004
1865,1.0,1.0
1991,1.0,2.3
1223,1.0,1.4
1575,1.0,5.0
1191,1.0,0.8
1076,1.0,4.3999999999999995
1650,1.0,2.3000000000000003
1931,1.0,3.7
1859,0.982,3.2
1861,1.0,1.7
1045,0.828,0.4
1537,0.824,1.6
1013,1.0,0.4
1170,1.0,2.5
1225,1.0,0.2
1087,1.0,3.5999999999999996
1276,1.0,2.1
1968,1.0,2.0
