,h_post,h_post_individualized
1057,0.9780230361749637,
1711,0.9653783007572363,
1410,0.9811748650648999,
1913,0.9908621199139553,
1709,0.9646950709807708,
1595,0.9928833276537786,
1189,0.9417344217452766,
1128,0.9771819922051924,
1414,0.9809613645324107,
1133,0.977199721561819,
1327,0.9822124212468615,
1195,0.9924104918870664,
1238,0.9933619963649091,
1983,0.9923943196627932,
1842,0.9769663377155612,
1206,0.9518702643866115,
1591,0.983734887769203,
1738,0.9938416526193258,
1928,0.9930786416065926,
1855,0.9074109335283937,
1146,0.9716701159707875,
1789,0.9951349956898364,
1541,0.9914233023184928,
1631,0.9905885454274332,
1807,0.9859685742239669,
1464,0.9855834186793564,
1433,0.9844201761698613,
1953,0.9530256256673806,
1650,0.9696978377058838,
1987,0.9955758055194476,
1373,0.9891474400446711,
1900,0.9845898304973958,
1864,0.9812066533596108,
1159,0.992009990955631,
1561,0.9585808779297569,
1191,0.9926212892971253,
1457,0.8329602346585764,
1452,0.9682034621575721,
1342,0.9950205230501366,
1639,0.9673856307863077,
1397,0.9909148196971823,
1629,0.9555528294574541,
1565,0.9850794288104548,
1177,0.9839387253251302,
1930,0.9916710351506293,
1082,0.9978722626805052,
1440,0.9598188782956593,
1034,0.9564603878165635,
1575,0.8110511413759156,
1771,0.9854574093663425,
1070,0.9834157234869717,
1242,0.9954934424095597,
1287,0.9891159169998678,
1426,0.9931805667051177,
1404,0.9940492577142661,
1383,0.8478826182166087,
1606,0.9742195515382629,
1214,0.8652655433140641,
1030,0.9307547333904983,
1773,0.9708335308639974,
1388,0.8745604545597263,
1470,0.9610115072444899,
1588,0.7577494121615179,
1929,0.9946489264168537,
1858,0.966895763638548,
1360,0.9905021357252144,
1901,0.9892959546586588,
1233,0.8636881349179668,
1619,0.9752029647697532,
1486,0.9910905907417664,
1234,0.9449261082254156,
1922,0.9911942463432242,
1434,0.889967699717936,
1594,0.9991885405598219,
1054,0.9894534483778645,
1386,0.9708188734778969,
1469,0.9404097258538839,
1655,0.9517589007779051,
1993,0.9938850720607078,
1290,0.9931308661948097,
1977,0.9465724138642354,
1145,0.9653483413163565,
1324,0.9941665321963826,
1726,0.9923746790560722,
1364,0.9806833990577273,
1734,0.9931302979388311,
1476,0.9933660125690559,
1101,0.9871065097509479,
1817,0.9898499234286585,
1276,0.9748012415919388,
1431,0.9835323224823448,
1907,0.9838417908738767,
1572,0.9878795402502282,
1886,0.9714229466541879,
1661,0.9770464560992885,
1971,0.8235742145575533,
1520,0.9906397113413903,
1923,0.9290928021667819,
1725,0.987866962108892,
1170,0.8879739480818112,
