,x1,x2,x3
1336,0.01604796,-0.20494005,0.42715585
1541,0.005744946,-0.34281883,0.46867105
1772,-0.7835319,-1.5044149,-0.4714788
1236,-0.8741264,-1.192658,-0.44091067
1474,-1.6481884,-1.8602353,-2.056612
1978,-1.3798896,-1.9498621,-1.7096413
1693,-1.2950389,-1.7187988,-1.7088766
1373,-0.4142556,-0.84281945,-0.37133068
1158,-1.2063223,-1.657903,-1.5705476
1280,0.8560121,-0.27998486,1.4320394
1250,-1.0532819,-1.0916023,-0.798166
1556,-1.0554245,-1.2192806,-1.1301296
1743,-1.7896047,-2.2120056,-2.4912152
1746,-0.55251956,-0.91564953,-0.22068867
1863,-0.71283644,-0.86604553,-0.1917183
1688,-0.9078482,-1.1348102,-0.8505064
1975,-1.049981,-2.2374763,-1.7374382
1316,-1.6169806,-1.9212257,-1.9551871
1647,-0.28611025,-0.35763782,0.17014167
1980,-0.1701771,-0.012721377,0.64692444
1538,0.6039651,0.5549564,1.9628866
1645,0.061276045,-0.073404945,1.0491471
1818,-2.2324486,-2.7905607,-3.2554579
1238,-2.0107296,-2.513412,-2.834871
1470,-0.5267802,-0.6584752,-0.112035654
1202,-1.335002,-1.2687525,-1.3387566
1910,-0.0939,-0.042375002,0.869825
1284,-1.9173685,-2.3967106,-2.2314477
1889,-0.48403436,-0.680043,0.8518883
1084,-0.7447227,-0.93090343,-0.6203489
1452,-1.9181823,-2.1977277,-1.5340922
1652,-1.4283831,-1.535479,-1.1922452
1996,-0.6601079,-0.90013486,-0.120350644
1630,-0.28244135,-0.3530517,0.4820656
1607,-2.3195825,-2.2744782,-1.613643
1099,-2.16391,-3.1298873,-2.257707
1720,-0.38774216,-1.0596777,-0.5351621
1847,-1.0934119,-1.1417649,-0.92858857
1502,-1.2386355,-1.7232944,-1.5005653
1436,-0.7671064,-1.358883,-1.0930958
1010,-0.88989705,-1.0873712,-0.26716536
1403,-1.8296593,-2.287074,-2.246393
1222,-0.7372877,-0.9466096,-0.721185
1637,-4.1485324,-5.210665,-5.20773
1736,-0.047346137,-0.78418267,-0.07887495
1934,1.1888556,1.1110696,2.988781
1385,-1.5324069,-2.0155087,0.81967765
1014,-0.5370849,-0.94635606,-0.3205258
1331,-1.0471246,-1.2839057,-1.0781548
1298,-0.6210958,-0.9763697,0.38143864
1695,-1.8479966,-2.1599956,-2.4559884
1907,0.5926112,0.41576397,1.3009863
1602,-1.1116519,-1.2395649,-0.8628687
1212,-0.6017327,-1.1021658,-0.70563114
1687,-0.72243965,-1.5780495,-1.1229287
1512,-0.8181178,-1.2976472,-0.93388283
1057,0.5835242,0.45440528,1.5214537
1680,-0.76428294,-1.1803538,-0.108919665
1821,0.64413893,0.55517364,1.8434516
1170,-1.1404536,-1.4005669,-0.98147404
1089,-1.306441,-2.308051,-1.820933
1157,0.55611855,0.24514818,0.5573852
1374,-0.19644932,-0.02056166,1.0865396
1741,-1.236853,-1.4710662,-1.0447721
1353,-1.4904838,-1.5131046,-1.0940717
1998,-1.8584228,-2.2730284,-2.0898736
1659,-1.0645173,-1.3306465,-1.059681
1642,-0.8410195,-2.1262743,-1.3083133
1768,-2.8065012,-3.1081264,-2.121129
1658,-0.036256317,0.054679606,0.682167
1728,-0.48468685,-0.43085855,-0.10023224
1463,-0.45004627,-0.91255784,-0.51265043
1218,0.72109544,0.65136933,2.0935602
1276,1.0919843,-0.5350196,1.048949
1085,-0.113459684,0.058175396,1.0312561
1906,-1.2164004,-1.4205004,-1.4533012
1879,-1.337344,-1.59668,-1.4713681
1838,-1.2357947,-1.4447433,-1.4163326
1415,-0.9917506,-1.2396883,-1.1231896
1031,-0.3656156,-0.4320195,0.036749266
1947,-0.8916819,-1.2146024,-0.89796615
1301,-1.6173159,-1.9966449,-2.1312764
1154,-0.52167386,-1.3270923,-0.7704401
1750,-1.1030794,-1.6788492,-1.4850081
1654,-0.17245078,-0.19056349,0.36453494
1634,-0.1070062,-0.5587577,0.42722985
1968,-0.80615467,-1.2076933,-0.92000276
1742,-0.8511208,-1.188901,-0.8911427
1662,-2.8613112,-3.151639,-3.5742612
1234,-0.20067349,-1.0508418,-0.35218883
1425,-0.20727192,-0.2340899,0.25136623
1244,-0.5001806,-0.6252258,-0.12558699
1567,-0.7571092,-0.9463865,-0.56060493
1379,-1.2747905,-1.4434881,-1.0930694
1296,-1.0570369,-1.6712962,-0.98537004
1072,-1.3622589,-1.2528236,-1.2773414
1131,-0.15123133,-0.18903917,0.50849813
1094,-0.34821552,-0.53526944,-0.13170052
1338,-0.22474433,-0.28093043,0.2695809
1473,-0.027729176,-0.03466147,0.5098802
