,h_post,h_post_individualized
1374,0.056103015410342745,
1161,0.7805899252126092,
1420,0.5323561881023854,
1669,0.6498056150972511,
1304,0.7893283887090026,
1212,0.5216223598187953,
1098,0.6508563812988608,
1206,0.7986646224727656,
1741,0.6173526749688014,
1463,0.029061812438125518,
1293,0.886555466542726,
1119,0.6011959686379972,
1567,0.5629812493177542,
1353,0.9613095332820075,
1466,0.5935045670987729,
1601,0.6266100034436812,
1413,0.6592758316635416,
1935,0.6326044982673239,
1506,0.03415451318525162,
1926,0.46481235059652143,
1818,0.5470642847896567,
1823,0.6567867280622453,
1495,0.5038540343956869,
1772,0.3604134923320693,
1890,0.9826312125838337,
1051,0.7707895134255942,
1992,0.6544818657168363,
1965,0.5180815874916995,
1391,0.7197350614330437,
1398,0.722393194951734,
1520,0.6099467596773278,
1541,0.9811399277957219,
1014,0.6874028565121137,
1624,0.7214898517720507,
1147,0.571931999956347,
1853,0.684773485356273,
1213,0.7959504336365492,
1761,0.026970517530801576,
1001,0.9965402407614765,
1960,0.5550362121525677,
1453,0.6148388987177628,
1792,0.5676704108963215,
1354,0.568831915611794,
1868,0.7310292746324056,
1114,0.7101282101910865,
1723,0.9143830020739152,
1528,0.5139643724790071,
1216,0.5430554895976184,
1474,0.5677739047594832,
1282,0.5273259141182851,
1111,0.8324705539656103,
1065,0.7025314907341419,
1239,0.9951267740638242,
1127,0.6320138931558191,
1234,0.7081230756588802,
1242,0.7261718862597134,
1572,0.5623611818725177,
1838,0.9171408647639344,
1711,0.7468907894485058,
1362,0.5340709613742098,
1496,0.871735855168816,
1482,0.7031508453071346,
1606,0.7824532706789382,
1938,0.8792032671048894,
1513,0.6470469491210634,
1235,0.657949569594277,
1182,0.043028731762641645,
1529,0.5588795798673606,
1229,0.609050578547206,
1316,0.8872661791654587,
1069,0.6633552140802538,
1758,0.5316358878444581,
1331,0.6492735824490091,
1768,0.9085736081543566,
1776,0.020321887738813053,
1246,0.7096683779049319,
1276,0.5720919549977314,
1245,0.6886209939471392,
1643,0.831512789785643,
1843,0.558703118874668,
1250,0.5748213409572099,
1308,0.6969671382950583,
1627,0.6607404032677983,
1808,0.5084184819667854,
1286,0.574669489531051,
1730,0.9685464590297407,
1967,0.5188593955532298,
1615,0.5862929116488337,
1000,0.5240281118303138,
1288,0.5781176760163452,
1903,0.7494216612102595,
1906,0.8299978118923896,
1759,0.6438083970313507,
1519,0.8744628105281074,
1488,0.8477730999195716,
1803,0.9996891427309901,
1802,0.6405589631612434,
1952,0.7690395444790399,
1306,0.6848529227224753,
1038,0.9670064795424506,
