,y_hat
1002,False
1520,False
1319,False
1593,False
1662,False
1436,False
1449,False
1295,False
1495,False
1288,False
1665,False
1880,False
1250,False
1005,False
1000,False
1424,False
1494,False
1111,False
1236,False
1020,False
1952,False
1216,False
1057,False
1966,False
1391,False
1099,False
1562,False
1823,False
1239,False
1582,False
1109,False
1089,False
1305,False
1556,False
1859,False
1331,False
1270,False
1626,False
1212,False
1202,False
1516,False
1708,False
1627,False
1298,False
1794,False
1353,False
1558,False
1567,False
1286,False
1428,False
1687,False
1700,False
1482,False
1259,False
1199,False
1289,False
1479,False
1559,False
1531,False
1126,False
1828,False
1276,False
1981,False
1642,False
1253,False
1375,False
1936,False
1308,False
1557,False
1977,False
1743,False
1222,False
1296,False
1889,False
1928,False
1733,False
1839,False
1746,False
1883,False
1739,False
1313,False
1226,False
1491,False
1768,False
1154,False
1655,False
1918,False
1158,False
1845,False
1781,False
1382,False
1309,False
1838,False
1894,False
1750,False
1357,False
1062,False
1214,False
1036,False
1324,False
