,x1,x2,x3
1255,0.47304714,0.84609425,1.7921885
1440,-0.09255681,1.4148864,2.1297727
1969,0.5705132,0.041026354,1.0820527
1106,0.5614338,-0.077132404,0.84573513
1268,0.28709516,1.0741904,0.54838085
1572,0.44951177,0.89902353,1.7980471
1072,0.43774113,0.87548226,1.1509645
1488,0.8676597,0.5353194,1.2706388
1541,0.40574494,0.9114899,2.1229796
1337,0.70308197,0.50616395,2.012328
1479,0.3705607,0.9411214,1.3822427
1588,0.56083375,0.2216675,1.4433349
1357,0.42009306,0.94018614,1.2803721
1881,0.5775624,0.55512476,2.1102495
1662,0.43868884,0.8773777,1.1547554
1030,0.44346526,0.8869305,1.673861
1684,0.61873424,0.23746851,1.474937
1429,0.7131731,0.6263462,2.2526922
1025,0.4643451,0.9286902,1.9573805
1449,0.6248567,0.24971342,1.4994268
1473,0.37227082,0.94454163,2.2890832
1456,0.59871167,0.49742335,1.9948468
1362,0.41605368,0.9321073,1.8642147
1654,0.62754923,0.7550984,2.3101966
1147,0.4377472,0.8754944,0.65098894
1289,0.4653147,0.9306294,1.6612588
1280,-0.1439879,1.5120242,2.2240484
1570,0.59141237,-1.1171753,-1.2343507
1386,0.65155333,0.6031067,2.2062135
1627,0.60093546,-0.3981291,0.20374179
1065,0.4068736,0.91374725,2.1274943
1007,0.55701774,0.4140355,1.8280711
1896,1.359494,0.018987989,1.3379759
1000,0.49381623,0.8876325,1.275265
1306,0.61186063,0.12372124,1.2474425
1945,0.7155722,0.6311444,1.6622887
1133,0.7183566,0.33671322,1.6734265
1768,0.39349884,0.9869977,-0.42600465
1652,0.07161683,1.2432337,1.8864675
1100,0.42451304,0.94902605,2.2980523
1368,0.4071126,0.9142252,1.2284503
1366,0.66948503,0.63897,2.27794
1981,0.60673267,-0.98653466,-0.97306937
1711,0.44858363,0.89716727,2.2943344
1316,0.68301946,-0.9339611,-0.86792225
1607,0.48041743,0.96083486,0.22166967
1582,0.6526862,-0.89462763,-0.7892553
1345,0.64499795,0.68999594,1.9799918
1199,0.40805998,0.91611993,1.8322399
1085,0.7865403,0.6730806,2.3461614
1272,0.15961584,1.2192317,-0.06153655
1975,0.45001897,0.90003794,1.2000759
1734,0.57462716,0.0492543,1.0985086
1069,0.43947354,0.8789471,2.1578941
1158,0.09367764,1.2873553,0.9747106
1415,0.60824937,0.016498744,1.0329976
1219,0.76772374,0.63544744,1.370895
1836,0.42788714,0.9557743,2.3115487
1305,0.47551346,0.8510269,-0.19794607
1960,0.45243698,0.90487397,1.1097478
1683,0.40188786,1.0037757,1.2075514
1828,1.6190082,-0.26198375,1.8760324
1693,0.20496106,1.1099222,1.0198443
1808,0.5018118,0.9036236,1.1072471
1744,0.5637064,0.027412772,1.0548255
1658,0.4637437,0.9274874,2.3549747
1747,0.62678003,-0.24643993,0.50712013
1356,0.4753389,0.8506778,2.3013556
1299,0.47054017,0.8410803,1.4821606
1042,0.62128043,-0.15743911,0.6851218
1579,0.44613102,0.89226204,1.384524
1141,-0.14558598,1.508828,1.8176562
1626,0.10425423,1.2085085,1.617017
1882,0.69796216,0.69592434,2.3918488
1714,0.6423736,-0.41525275,0.16949451
1649,0.47874874,0.85749745,2.014995
1565,0.7478775,0.69575495,2.3915098
1308,0.40829644,0.91659284,1.9331856
1558,-0.50189793,1.8962041,1.6924083
1303,0.8386404,0.57728076,2.1545615
1671,0.5539661,0.80793226,1.7158645
1239,0.39826003,0.99652004,-0.6069598
1359,0.5244597,0.9489194,2.3978388
1549,0.6293466,-0.64130676,-0.28261352
1926,1.1359704,0.2719408,0.24388146
1326,0.5601546,-1.0796907,-1.1593814
1193,0.5684778,-1.0630443,-1.1260886
1794,0.43562096,0.97124195,1.842484
1568,0.4519229,0.9038458,0.30769157
1522,0.624697,0.44939405,1.898788
1938,0.60712415,0.4142483,1.8284965
1911,0.46404102,0.92808205,1.456164
1918,0.4251058,0.95021164,0.30042338
1934,0.68885565,0.37771127,1.7554226
1992,-0.027383875,1.3452322,0.99046457
1267,0.49622864,0.9924573,0.78491473
1074,0.4690203,0.9380406,0.6760814
1731,0.45903078,0.91806155,0.93612313
1330,0.80308294,0.7061659,2.4123316
1859,0.4811131,0.8622262,0.9244523
