,h_post,h_post_individualized
1996,0.9999960819994311,
1833,0.9999999957183957,
1426,0.9999996006374562,
1157,0.9999999675154132,
1227,0.9999999620934057,
1283,0.9999999545296125,
1669,0.9999998896049265,
1958,0.9999964594584797,
1302,0.9999999911175027,
1418,0.99999972983243,
1275,0.9999999894386916,
1688,0.9999999939925877,
1365,0.9999999747913662,
1821,0.9999998461105306,
1349,0.999999984476823,
1925,0.999997751906749,
1526,0.9999999947722281,
1409,0.9999995959473764,
1484,0.9999998910160489,
1034,0.9999999901947634,
1839,0.9999999943655218,
1994,0.999999991883871,
1003,0.9999999824736008,
1582,0.9999999758186734,
1845,0.9999999441621386,
1476,0.9943702852708947,
1374,0.9999999912211444,
1588,0.9999995708847658,
1240,0.999999958887911,
1046,0.9999999899597345,
1311,0.9889721408775396,
1981,0.9999994334726925,
1015,0.9999999941846416,
1211,0.9999997090164552,
1353,0.9969709648783621,
1223,0.9999998706326645,
1919,0.9999999956167863,
1541,0.9999999915708551,
1533,0.9999924153738232,
1383,0.9999999890419885,
1379,0.9999997027347666,
1007,0.9999999940428258,
1525,0.9999999934789922,
1070,0.9951569254953064,
1137,0.9999999542065477,
1427,0.9999998130134927,
1472,0.9999999237100411,
1382,0.9710025406660925,
1091,0.9999986906968842,
1811,0.9999999887691912,
1831,0.9999999847170444,
1020,0.9999999867607224,
1306,0.999999994147478,
1372,0.9999999961925016,
1345,0.9999999919981852,
1551,0.9999999942173442,
1107,0.9999999763198549,
1895,0.9999993541222428,
1885,0.9999999946767864,
1498,0.9999995036715175,
1714,0.9999999701094419,
1308,0.9999998131448422,
1304,0.9999999654390016,
1337,0.9999999762125574,
1309,0.9999990411975017,
1410,0.9999999947260848,
1775,0.9999999931954406,
1242,0.9999998840404225,
1221,0.9999989146490713,
1260,0.9999999877409431,
1290,0.9999992536546926,
1828,0.9999999643421124,
1023,0.9999999418349711,
1620,0.9999997635339835,
1947,0.999996954707265,
1360,0.9820416031117056,
1024,0.9703633587956767,
1791,0.9999999412284367,
1159,0.9999949337631407,
1390,0.9999999862488047,
1652,0.9999999868588458,
1204,0.9999999729945552,
1537,0.9999999705775409,
1555,0.9999999887220618,
1233,0.9999816766664834,
1510,0.9999999500261987,
1172,0.9999999339043246,
1830,0.9999999587994606,
1109,0.9999999940463655,
1657,0.9999998920854422,
1327,0.9999999870347762,
1786,0.9753106222155811,
1971,0.999999837376246,
1502,0.9999842559764152,
1570,0.9999998248766765,
1593,0.9999998897731189,
1673,0.9999999943503906,
1491,0.9999999837770035,
1910,0.9999999943821631,
1946,0.9999999626905943,
