,h_post,h_post_individualized
1457,0.5955395632300242,
1443,0.9277754976579512,
1388,0.7386342273557774,
1626,0.734595638892356,
1093,0.999999985013836,
1973,0.7165092808212319,
1886,0.8061898268881316,
1170,0.5491414596271789,
1532,0.5943665466888179,
1798,0.849228761290808,
1603,0.9999879502696642,
1356,0.6103016223821056,
1382,0.7261147450094325,
1805,0.7417715073718081,
1987,0.8715837675007833,
1475,0.7560523111739919,
1504,0.5849960090979626,
1096,0.9591335802504984,
1560,0.6763113886948342,
1841,0.8700717266970915,
1054,0.9299299125918518,
1814,0.5,
1303,0.5067367742843996,
1928,0.913429036572707,
1178,0.8437680890800145,
1182,0.9590424824081574,
1694,0.6417345194122482,
1189,0.7660819272421961,
1253,0.9341045713132067,
1621,0.8803504069515565,
1242,0.753516176241432,
1786,0.9314587343475011,
1066,0.7939725471679425,
1842,0.7531018014247388,
1858,0.5362031660616327,
1914,0.7390772695014541,
1459,0.5712820536098991,
1915,0.8989461195902999,
1748,0.7560282579328602,
1408,0.672722061433476,
1076,0.5394646524408272,
1598,0.7707735126735643,
1574,0.7357570550003387,
1308,0.9999996100951417,
1452,0.6589303225642759,
1186,0.685551056098938,
1631,0.7356991364499116,
1913,0.8512340674526733,
1879,0.9999976050301425,
1536,0.6405278965703263,
1236,0.7032591968355948,
1016,0.837807488790004,
1781,0.5292589487241328,
1593,0.6590254937203363,
1184,0.9999821565727032,
1787,0.7296884776543834,
1605,0.5855398561649103,
1285,0.997244517000671,
1410,0.723962189644544,
1999,0.5855702845151143,
1439,0.8051848704652215,
1778,0.8696545083267451,
1011,0.764225607374406,
1870,0.6394215836170557,
1950,0.9999848632069519,
1697,0.7443996605335119,
1953,0.5,
1751,0.9999925176555594,
1348,0.9999947913317309,
1528,0.6712109260526636,
1935,0.5,
1360,0.873815519669553,
1161,0.7593710682657301,
1575,0.7558774117283126,
1933,0.6574089452489631,
1520,0.5471344719295376,
1773,0.5550368258563806,
1821,0.5374433454609882,
1105,0.655927192368621,
1485,0.5,
1533,0.9999954793574006,
1276,0.5,
1446,0.534532932719776,
1696,0.544276721896597,
1039,0.7743152758123739,
1149,0.582616973879184,
1150,0.7937703697736626,
1116,0.5799733602816519,
1238,0.5233786910916067,
1277,0.7319273018681712,
1571,0.9161702932737018,
1418,0.6222299049351855,
1895,0.60297894771283,
1572,0.6773466412931313,
1961,0.5628964912252707,
1970,0.5142643423621399,
1133,0.6937492549672999,
1225,0.9999933733655229,
1745,0.6552273231709358,
1826,0.9967470626496737,
