,x1,x2,x3
1743,-0.3499269,-0.4248903,0.52532905
1496,0.008565642,0.012848463,0.53854537
1191,-0.2024703,-0.30370545,0.58888364
1610,-0.644503,-0.9167545,0.5497366
1219,-0.54655933,-0.769839,0.59048307
1286,0.053761065,-0.019358402,0.5419248
1116,-0.19047189,-0.28570783,0.5428765
1467,-0.16356054,-0.24534081,0.5639776
1695,0.022547616,0.13382143,0.50146425
1197,-0.37339786,-0.5600968,0.51970965
1167,-0.13926682,-0.10890023,0.5732993
1545,0.07973015,0.21959522,0.5587857
1680,-0.8316461,-1.2974691,0.6075924
1884,-0.7340699,-1.3011049,0.5966855
1462,-0.15778735,-0.13668104,0.48995692
1953,-0.671273,-1.0069095,0.57927144
1036,-0.48355934,-0.775339,0.5739829
1745,0.28246474,0.07369712,0.52109134
1941,-0.53685164,-0.8552775,0.5341674
1724,0.013163241,-0.080255136,0.55923456
1798,-0.24994063,-0.7249109,0.5252672
1603,-0.15392081,-0.3308812,0.50735635
1120,0.08362498,0.12543747,0.47631243
1607,-0.6722566,-1.008385,0.57484543
1097,-1.3766612,-1.5649917,0.6050247
1660,-0.6891067,-1.08366,0.54901993
1552,-0.1221846,-0.18327689,0.55016935
1494,0.08207618,0.22311427,0.4693428
1391,-0.14608951,-0.21913427,0.54259723
1901,-0.17102456,-0.15653685,0.63038945
1835,-0.41218457,-0.71827686,0.5451694
1487,0.03857054,0.057855807,0.5735674
1527,0.023404172,0.13510625,0.50531876
1366,0.08156901,0.22235353,0.66706055
1778,-0.581225,-0.92183745,0.5344876
1529,-0.5139976,-0.57099646,0.58701074
1061,0.018146472,0.1272197,0.4816591
1555,0.15777287,0.18665929,1.459978
1503,-0.56142145,-0.8421322,0.5736035
1838,0.11321331,0.21981996,1.35946
1287,-0.31063265,-0.41594896,0.5521531
1824,-0.26248568,-0.8437285,0.5688145
1443,-0.27508107,-0.41262162,0.5621352
1214,-0.5553466,-1.08302,0.55094033
1237,0.24260345,0.11390518,0.8417155
1542,0.1330759,0.14961384,1.3488415
1807,-0.28431815,-0.32647723,0.5205683
1502,0.0018839106,0.002825866,0.50847757
1369,-0.4913909,-0.78708637,0.5387408
1033,-0.17362216,-0.31043324,0.5687003
1933,0.9725383,0.70880747,1.6264223
1308,-0.18265691,-0.17398539,0.5780439
1540,-0.11869251,-0.22803876,0.5158837
1376,-0.095491625,-0.19323745,0.5202877
1805,-0.09182898,-0.18774347,0.5367696
1757,-0.56083345,-0.9412502,0.5762496
1926,-0.4220924,-0.6331386,0.60058415
1575,-1.090201,-2.4853015,0.6440954
1103,-0.3845051,-0.52675766,0.5197272
1848,0.11910155,0.22865231,1.385957
1291,-0.74582154,-1.1187323,0.6438031
1563,-0.3080238,-0.5120357,0.56389284
1112,-0.16794218,-0.35191327,0.54426014
1576,-0.8065579,-1.2098368,0.5704896
1386,-0.41494074,-0.62241113,0.53276664
1827,-0.2928736,-0.33931038,0.5820688
1689,0.09242206,0.13863309,0.5158993
1785,0.060379926,0.19056989,0.47170967
1195,-0.19998863,-0.19998297,0.50005114
1635,-0.23927811,-0.45891717,0.52324855
1206,-0.6049748,-0.9574622,0.62761337
1234,-0.81695783,-1.1754367,0.57368976
1282,-0.3526027,-0.528904,0.5132879
1306,-0.545826,-0.568739,0.69378287
1517,-0.11312114,0.38031828,0.44095486
1978,-0.121742085,-0.18261313,0.5521606
1717,-0.55427617,-0.7814143,0.5557574
1747,0.16700998,0.20051497,1.5015448
1329,-0.6103685,-0.9655527,0.60334194
1227,-0.28045338,-0.32068008,0.53795975
1697,-0.7954457,-1.2431685,0.5704943
1086,0.07050418,0.10575627,0.5172688
1886,-0.5330977,-0.5996465,0.6010604
1373,-0.37795448,-0.5169318,0.5492048
1950,-0.2986684,-0.44800264,0.5559921
1992,0.28360805,-0.02458793,0.026236176
1769,-0.71255296,-0.8188294,0.5435117
1303,-0.3934234,-0.6401351,0.5795946
1111,-0.30733684,-0.46100527,0.5169842
1051,0.041040275,0.061560415,0.48468125
1316,-0.36304626,-0.44456938,0.5662918
1492,-0.70244217,-1.0536633,0.63901025
1567,-0.40658623,-0.55987936,0.5203619
1930,-0.11811517,-0.17717275,0.5684817
1955,-0.5277993,-0.741699,0.5749032
1639,-0.4761434,-0.7642151,0.70735484
1433,-0.09774615,-0.24661922,0.5601423
1814,-1.0407509,-1.4611263,0.6166214
1115,0.040635083,0.060952626,0.48285788
1633,0.29236165,0.08854248,0.5656274
