,x1,x2,x3
1585,0.52213603,0.42767003,1.760874
1386,0.47011852,0.26264817,1.3178259
1111,0.48532632,0.3316579,1.5096474
1923,0.4659768,0.5574709,1.2064362
1977,0.4595124,0.5243905,1.3136592
1116,0.41905624,0.6238203,1.8524046
1741,0.4781168,0.272646,1.3398211
1437,1.3574173,1.1717716,3.1578977
1166,0.48655075,0.15818843,0.98801464
1433,0.5045077,0.35563463,1.5623963
1007,0.41188368,0.2398546,1.3076801
1572,0.4367496,0.345937,1.6010613
1130,0.43139645,0.38924557,1.7363402
1661,0.4747843,0.2934804,1.4056569
1797,0.50339526,0.52924407,1.6843371
1344,0.46311155,-0.021110564,0.47355676
1233,0.40348795,0.60436,1.0095918
1541,0.49568313,0.5196039,1.8631287
1642,0.50960594,0.21200743,1.1264162
1404,0.48398152,0.45497692,1.8809491
1639,0.44771323,0.15964153,1.0312114
1287,0.47873473,0.37341842,1.6415205
1681,0.44718817,0.08398521,0.80476743
1452,0.41828775,0.2228597,1.2502913
1618,0.41818762,0.39773452,1.775016
1177,0.50998914,0.3124864,1.4274701
1607,0.45548683,0.5193586,1.3025888
1819,0.4621679,0.30270988,1.4459617
1088,0.5073613,0.45920163,1.8702437
1462,0.4844253,0.40553164,1.7321696
1467,0.47287893,0.59109867,1.9004172
1203,0.4523548,0.3154435,1.4939756
1940,0.4593363,0.22417039,1.2131748
1888,0.49984816,0.4498102,1.8495824
1308,0.43468618,0.54335773,1.795387
1400,0.44391865,0.57989824,0.8957764
1629,0.4333764,0.1917205,1.1417851
1070,0.48228753,0.2778594,1.3512906
1907,0.42446288,0.6055786,1.7922729
1112,0.46411565,0.38014457,1.676318
1884,0.43186024,0.0648253,0.7626156
1626,0.52162826,0.45203537,1.6344777
1597,0.42615032,0.3326879,1.5719134
1147,0.4288484,0.6360605,1.8793331
1267,0.4385423,0.24817789,1.3059914
1906,0.86304045,0.17880055,1.4733613
1331,0.39593259,0.6449157,1.5388145
1285,0.4735982,0.44199777,1.852395
1372,0.55258816,0.49073535,0.7196176
1902,0.591016,0.38877,1.575294
1744,0.6402224,0.60027796,2.1606114
1533,0.5053556,0.2816945,1.3397279
1076,0.3804955,0.6006193,1.0213625
1046,0.48845574,0.53556967,1.9182533
1236,0.48603457,0.5575432,1.1865952
1081,0.43662834,0.24578543,1.300728
1426,0.4351239,0.39390486,1.7465909
1753,0.48399898,0.5549987,1.9809971
1567,0.98682755,0.8335344,2.5137758
1179,0.2672308,0.7090385,1.4598846
1660,0.42178655,0.62723315,1.2599131
1883,0.30604023,0.7325503,1.6916108
1002,0.41743526,0.37179407,1.697947
1440,0.41424698,0.19280872,1.1641793
1989,1.1912411,-0.16094866,1.3259131
1484,0.45290655,0.11613318,0.8954931
1332,0.424728,0.25591,1.3430021
1638,0.47474274,0.44342843,1.8555425
1105,0.4482274,0.56028426,1.6326252
1174,0.4159187,0.39489838,1.7687765
1210,0.4172393,0.22154914,1.2474082
1778,0.43755,0.5969375,1.3532624
1603,0.49215838,0.41519797,1.7534356
1764,0.4792807,0.5241009,1.8930221
1725,-0.36342758,1.3457155,1.8005741
1415,0.4525334,0.21566674,1.1944668
1110,0.4678598,0.5348248,1.3366145
1039,0.46748015,0.5593502,2.0105705
1801,0.42209023,0.6276128,1.6607482
1225,0.41207254,0.39009067,1.7581995
1168,0.42210484,0.552631,1.4357883
1458,1.2048978,-0.21887788,1.5384688
1929,0.44512555,0.40640694,1.7740952
1645,0.44936663,0.6117082,1.1857581
1931,-0.52224314,1.5471961,0.9638313
1075,0.5230196,0.5037745,1.3883038
1149,0.5283899,0.5104873,2.0030723
1895,0.46952534,0.28690666,1.3911947
1934,0.4624431,0.27805388,1.3717185
1346,0.5050248,0.43128097,1.7888181
1387,0.60278887,0.5534861,2.0576694
1814,0.41849837,-0.0018770397,0.5758705
1324,0.63001263,0.3625158,1.8575348
1485,0.4956779,0.19459736,1.0881143
1435,0.50392014,0.5049002,1.4107804
1568,-0.078425266,1.0769684,1.5093305
1376,0.50901675,0.61127096,1.924796
1899,0.43302223,0.56627774,1.6658111
1806,0.50267303,0.3783413,1.6323508
1362,0.5294219,0.48677748,0.7309103
