,x1,x2,x3
1459,0.2,-0.0,1.1
1434,1.6,1.2,0.0
1250,0.1,-0.2,3.5
1484,0.2,1.7,7.6
1623,0.0,0.1,0.2
1550,-0.0,0.3,2.8
1199,0.0,0.3,0.8
1977,0.1,-0.0,3.4
1244,0.2,0.2,0.8
1808,-0.0,0.0,4.8
1594,-0.1,0.1,0.2
1284,2.2,-0.0,-0.0
1218,0.0,0.0,0.1
1776,-0.1,-0.0,0.3
1348,-0.0,-0.0,3.8
1874,0.1,0.9,6.0
1945,0.0,-0.3,2.5
1008,-0.0,0.0,0.9
1324,0.9,-0.0,0.0
1809,-0.0,0.5,3.6
1668,-0.0,0.1,4.9
1057,-0.0,-0.0,0.9
1361,0.3,0.3,4.9
1147,0.2,0.0,6.0
1298,-0.0,-0.1,2.3
1700,0.0,0.0,0.9
1322,0.5,-0.1,2.1
1236,0.1,0.0,3.2
1739,0.4,0.4,4.8
1880,0.0,0.5,1.0
1133,0.0,-0.0,0.4
1036,0.0,0.1,3.2
1720,0.0,0.0,0.1
1902,0.0,-0.0,0.4
1983,0.2,0.7,3.0
1014,-0.0,-0.1,0.6
1570,0.8,1.2,6.1
1267,0.1,0.0,6.2
1934,0.0,0.1,0.2
1253,0.9,0.4,4.4
1436,0.1,0.1,0.4
1453,0.8,0.0,0.0
1106,-0.1,-0.0,2.4
1529,-0.2,-0.1,5.6
1357,0.0,0.0,4.0
1373,0.1,-0.2,0.9
1270,-0.1,0.7,2.6
1308,0.0,-0.1,0.5
1779,-0.1,0.2,0.5
1479,0.1,-0.0,3.4
1006,0.1,0.0,0.4
1863,-0.0,-0.1,2.3
1580,0.2,0.0,5.1
1542,-0.1,0.1,8.1
1820,-0.2,0.0,2.8
1449,0.1,-0.2,0.5
1231,0.1,0.1,3.4
1304,0.1,-0.0,3.5
1025,0.4,0.5,-0.0
1375,-0.0,-0.1,3.2
1158,0.2,-0.1,5.1
1089,-0.0,0.1,4.4
1353,-0.1,0.3,4.8
1671,0.1,-0.1,2.4
1307,0.1,-0.0,2.3
1276,-0.2,0.1,0.9
1202,0.0,-0.0,4.9
1724,0.6,1.7,6.7
1590,0.1,-0.1,4.6
1708,-0.0,-0.0,1.0
1858,-0.0,-0.1,5.8
1030,0.1,0.1,2.4
1906,0.1,0.1,4.4
1240,0.0,-0.1,4.0
1424,-0.1,0.1,0.3
1969,0.2,-0.0,1.0
1305,0.1,1.5,9.1
1630,0.1,-0.1,0.2
1546,-0.0,0.0,3.5
1476,0.0,0.0,3.1
1642,0.5,1.2,-0.0
1759,-0.1,-0.1,4.6
1114,0.0,0.0,3.9
1839,0.0,0.1,2.1
1496,0.1,0.1,0.3
1001,-0.1,0.0,9.5
1074,0.2,0.1,6.3
1015,0.1,-0.2,0.6
1369,-0.0,-0.0,0.4
1494,-0.1,-0.0,3.3
1847,-0.1,-0.1,3.8
1562,0.6,1.7,5.4
1161,0.1,0.0,4.9
1685,0.2,0.1,6.6
1490,-0.1,-0.0,0.2
1492,0.0,-0.1,3.7
1345,0.1,-0.1,0.3
1093,0.0,-0.2,4.3
1612,0.7,0.3,3.8
1743,0.0,0.9,6.1
