,h_post,h_post_individualized
1993,0.9999998885793436,1.0
1091,0.9615902965640627,1.0
1588,0.9999999464380742,1.0
1966,0.999999716392607,1.0
1864,0.9999999542316701,1.0
1270,0.9999988111221024,1.0
1758,0.9999998935157451,1.0
1449,0.9999999624600036,1.0
1386,0.999999972801233,1.0
1428,0.9971083625634994,1.0
1666,0.999999888632822,1.0
1226,0.9999998419032811,1.0
1044,0.9999999156793381,1.0
1647,0.999999925290751,1.0
1126,0.9999998225743096,1.0
1156,0.9999999768147523,1.0
1359,0.9999999661331271,1.0
1375,0.9999970845428566,1.0
1330,0.9999999583062118,1.0
1014,0.9999998722441619,1.0
1337,0.9999999306066223,1.0
1353,0.9925775157956109,1.0
1220,0.9999994279970376,1.0
1730,0.9999999730874143,1.0
1992,0.999992134059714,1.0
1980,0.9999999495927001,1.0
1711,0.9999999713244678,1.0
1336,0.9999999775882623,1.0
1634,0.9999999578749302,1.0
1483,0.610216255807385,1.0
1792,0.9999999578348042,1.0
1257,0.999999969818386,1.0
1371,0.9999998734679156,1.0
1622,0.9932976292978108,1.0
1693,0.9951385952542405,1.0
1512,0.9999999230306696,1.0
1486,0.9999997783154388,1.0
1473,0.9999999533706226,1.0
1010,0.9999994516428607,1.0
1777,0.9470957446503235,1.0
1051,0.9999861257418905,1.0
1973,0.9999999657038068,1.0
1926,0.6078953902867608,1.0
1182,0.9999999748410958,1.0
1549,0.9946912759320568,1.0
1579,0.9999949196761008,1.0
1828,0.9999999239716176,1.0
1733,0.9999998895915129,1.0
1147,0.9656554293328924,1.0
1202,0.9527208311878971,1.0
1671,0.9999996664182916,1.0
1965,0.9999999555943994,1.0
1858,0.9999962083551408,1.0
1593,0.9999985577615752,1.0
1127,0.9999929509865104,1.0
1539,0.9999994849037398,1.0
1460,0.7907076305588373,1.0
1233,0.9999999650049947,1.0
1253,0.9928746246162315,1.0
1286,0.9999993015911801,1.0
1260,0.9999999674108208,1.0
1680,0.9999975033646052,1.0
1627,0.9999925801107378,1.0
1382,0.9999974087766538,1.0
1372,0.9999999266960715,1.0
1863,0.9999998027881871,1.0
1840,0.9999999493569829,1.0
1882,0.9999999710077684,1.0
1170,0.9999900517562376,1.0
1279,0.9999999418090585,1.0
1374,0.9999999581422597,1.0
1109,0.9999980307352943,1.0
1533,0.9999993062228956,1.0
1629,0.99732832046054,1.0
1612,0.9999917438436566,1.0
1467,0.9999999493234729,1.0
1524,0.9999999709088512,1.0
1334,0.9999999627634387,1.0
1288,0.9999994591729127,1.0
1000,0.9999884173479557,1.0
1959,0.9999948675625353,1.0
1889,0.9999995056541274,1.0
1070,0.9999999579048887,1.0
1741,0.9999967217312468,1.0
1501,0.9999999587001958,1.0
1626,0.9999997056235337,1.0
1171,0.999999879027427,1.0
1495,0.9999948378444693,1.0
1476,0.9999987916098113,1.0
1193,0.9588363100975815,1.0
1299,0.9999998120283452,1.0
1459,0.9999999102358452,1.0
1930,0.999996881744158,1.0
1923,0.9999999634117195,1.0
1479,0.9946544578227055,1.0
1047,0.9999999071104152,1.0
1420,0.9999997536452107,1.0
1960,0.9999951296527523,1.0
1012,0.9999998572715809,1.0
1896,0.9999894608898348,1.0
