ix,goal_cost,intv_cost
1304,1.0,0.5
1288,1.0,1.7
1566,1.0,1.9000000000000001
1287,1.0,2.9
1127,1.0,7.3
1360,1.0,4.6
1685,1.0,2.1
1271,1.0,3.5
1230,1.0,2.8000000000000003
1923,1.0,2.0
1649,1.0,5.0
1555,1.0,2.8000000000000003
1390,1.0,0.6000000000000001
1963,1.0,1.5
1761,1.0,3.3000000000000003
1446,1.0,9.3
1786,1.0,5.0
1231,1.0,0.1
1493,1.0,3.5000000000000004
1430,1.0,3.3
1336,1.0,3.3000000000000003
1575,1.0,0.4
1014,1.0,1.3
1987,1.0,0.1
1980,1.0,1.7000000000000002
1677,1.0,0.4
1881,1.0,1.2000000000000002
1244,1.0,1.5
1846,1.0,5.699999999999999
1592,1.0,0.7000000000000001
1736,1.0,4.1
1290,1.0,2.6
1342,1.0,1.2
1650,1.0,0.5
1504,1.0,0.4
1958,1.0,5.4
1682,1.0,4.0
1495,1.0,1.3
1308,1.0,2.5
1108,1.0,1.0
1747,1.0,3.0
1333,1.0,2.6999999999999997
1319,1.0,1.3
1921,1.0,3.1
1955,1.0,0.30000000000000004
1088,1.0,1.1
1889,1.0,4.5
1880,1.0,2.3000000000000003
1476,1.0,6.699999999999999
1270,1.0,5.1
1480,1.0,1.7
1882,1.0,2.9000000000000004
1468,1.0,2.9000000000000004
1472,1.0,1.5
1637,1.0,2.0
1006,1.0,4.800000000000001
1170,1.0,4.1
1615,1.0,1.2000000000000002
1733,1.0,2.2
1195,1.0,3.1
1794,1.0,8.5
1587,1.0,1.5999999999999999
1832,1.0,1.0
1365,1.0,2.1
1211,1.0,2.4
1009,1.0,4.1000000000000005
1008,1.0,2.5
1829,1.0,1.4000000000000001
1918,1.0,1.6
1080,1.0,3.4000000000000004
1528,1.0,2.6
1426,1.0,3.0999999999999996
1491,1.0,0.5
1580,1.0,1.5
1914,1.0,0.5
1218,1.0,3.8000000000000003
1853,1.0,1.0
1248,1.0,2.2
1623,1.0,1.9000000000000001
1103,1.0,5.0
1353,1.0,2.6
1952,1.0,1.3
1961,1.0,4.5
1927,1.0,3.1
1204,1.0,1.3
1292,1.0,0.7000000000000001
1936,1.0,0.1
1325,1.0,2.9
1810,1.0,2.7
1429,1.0,1.1
1740,1.0,0.2
1142,1.0,1.4
1329,1.0,2.1
1614,1.0,1.2999999999999998
1996,1.0,6.7
1059,1.0,3.4000000000000004
1378,1.0,0.9999999999999999
1104,1.0,1.2
1938,1.0,1.0
1788,1.0,1.4
