,y_hat
1927,False
1831,False
1942,False
1157,False
1496,False
1074,False
1872,False
1272,False
1209,False
1646,False
1011,False
1248,False
1260,False
1155,False
1161,False
1838,False
1221,False
1782,False
1025,False
1059,False
1996,False
1749,False
1747,False
1202,False
1149,False
1455,False
1166,False
1807,False
1154,False
1622,False
1824,False
1061,False
1828,False
1302,False
1263,False
1337,False
1682,False
1132,False
1482,False
1345,False
1495,False
1995,False
1593,False
1811,False
1444,False
1775,False
1814,False
1464,False
1649,False
1987,False
1776,False
1453,False
1685,False
1788,False
1359,False
1374,False
1661,False
1097,False
1433,False
1249,False
1003,False
1527,False
1586,False
1632,False
1958,False
1859,False
1717,False
1145,False
1821,False
1104,False
1238,False
1372,False
1080,False
1240,False
1335,False
1175,False
1454,False
1635,False
1688,False
1380,False
1941,False
1111,False
1410,False
1465,False
1008,False
1509,False
1072,False
1969,False
1761,False
1588,False
1431,False
1696,False
1791,False
1127,False
1613,False
1947,False
1105,False
1107,False
1844,False
1219,False
