,x1,x2
1248,0.7,-0.0
1723,1.5,2.2
1911,1.3,0.0
1626,1.1,-0.0
1914,1.5,0.0
1315,0.6,-0.0
1088,0.7,0.0
1985,1.5,2.2
1452,1.2,0.0
1568,1.4,-0.0
1198,1.1,0.0
1574,1.8,-0.0
1987,0.0,0.9
1459,0.9,-0.0
1842,0.9,1.4
1646,1.4,0.0
1045,0.6,0.0
1096,0.4,0.0
1761,0.9,1.4
1281,1.5,0.0
1306,1.3,-0.0
1746,0.9,-0.0
1962,1.0,-0.0
1806,1.0,-0.0
1648,1.2,-0.0
1659,1.3,1.9
1576,1.1,2.3
1655,1.2,1.9
1214,1.6,2.3
1503,1.1,1.6
1312,1.3,2.6
1564,0.7,0.0
1066,0.5,-0.0
1128,1.1,-0.0
1362,1.8,2.7
1839,0.5,-0.0
1467,0.8,-0.0
1011,0.6,0.0
1517,1.3,-0.0
1994,1.3,-0.0
1013,0.6,0.0
1725,0.8,0.0
1769,1.4,0.0
1819,0.8,1.3
1476,0.8,-0.0
1071,1.2,0.0
1100,1.2,0.0
1284,1.5,-0.0
1929,0.6,-0.0
1213,0.5,-0.0
1347,1.0,-0.0
1805,0.8,0.0
1245,1.4,2.2
1317,1.0,1.5
1028,1.7,0.0
1310,0.9,0.0
1404,0.6,-0.0
1485,1.3,1.5
1502,0.8,0.0
1736,0.9,1.0
1161,1.4,0.0
1991,1.4,0.0
1533,1.3,0.0
1794,0.9,0.0
1976,0.5,-0.0
1861,1.2,-0.0
1853,0.8,-0.0
1209,0.8,0.0
1907,0.9,0.0
1969,0.7,-0.0
1707,1.1,1.7
1964,0.7,-0.0
1781,-0.0,2.1
1858,1.1,1.4
1025,0.6,0.0
1539,1.4,1.9
1923,0.6,2.8
1685,1.1,1.6
1130,0.6,-0.0
1002,0.6,0.0
1638,0.6,-0.0
1953,1.5,0.0
1196,0.7,-0.0
1865,0.8,0.0
1859,1.2,0.0
1884,1.3,1.9
1233,1.5,2.3
1447,1.3,0.7
1840,1.3,2.0
1631,0.8,0.0
1757,1.3,1.9
1258,1.1,1.7
1443,1.0,0.0
1717,1.4,0.0
1492,1.6,0.0
1189,0.5,2.2
1641,0.8,0.0
1230,0.7,-0.0
1618,0.6,0.0
1743,1.3,-0.0
