,x1,x2,x3
1293,0.103527494,0.05529124,0.16587383
1894,0.070652485,0.0059787272,-2.082064
1157,0.07805927,0.0670889,-0.09873319
1452,0.040908873,0.06136334,-2.41591
1568,0.07596145,0.06394217,-2.8081734
1236,0.2629368,0.044405207,0.43321568
1627,0.20046772,-0.04929842,-0.34789523
1235,0.15167895,-0.022481576,0.5325553
1089,0.19677953,-0.1048307,-0.8144921
1889,0.107982814,0.011974221,0.33592272
1977,0.13285491,-0.000717628,-0.20215288
1853,0.18271407,-0.17592889,-1.0277867
1385,0.13379654,0.050694775,-1.5479156
1248,0.23056772,-0.10414842,-1.1124452
1084,0.22763863,0.04145795,0.5243739
1146,0.07558391,0.013375866,0.040127635
1051,0.013532197,0.020298297,-0.53910506
1593,0.19261463,0.03892194,-0.18323418
1750,0.14846028,0.07269042,-0.28192872
1906,0.09179981,0.08769971,-0.03690076
1000,0.24690811,-0.029637828,0.11108649
1537,0.14315882,0.06473824,0.49421468
1324,0.14788124,-0.02817814,0.5154657
1292,0.2108732,-0.0336902,-0.101070605
1289,0.13265735,0.048986025,0.44695804
1299,0.08527008,0.07790512,0.03371533
1048,0.26628336,-0.05057496,-0.05172479
1036,0.17695796,-0.03456305,-0.0036891461
1403,0.18517032,-0.2722445,-1.7167336
1010,0.10505149,0.0075772316,0.32273176
1111,0.051924873,0.02788725,-1.8163383
1282,0.20576774,-0.041348398,0.17595488
1607,0.19020872,-0.3646869,-1.3940609
1738,0.053535413,0.08030312,-3.3590906
1772,0.15823403,0.037351053,0.31205308
1202,0.23249903,-0.10125145,-0.20375443
1879,0.08132796,-0.6780081,0.86597586
1256,0.13783456,0.05675184,0.07025552
1961,0.2303207,-0.004518941,0.2864431
1072,0.018870568,0.028305853,-0.71508247
1391,0.070123404,0.055185106,0.16555533
1695,0.076001726,0.06400256,-1.6079923
1747,0.06339002,0.045085024,-0.16474493
1693,0.25248054,-0.0712792,-0.1138376
1145,0.07946785,0.06920177,-0.9923947
1042,0.21064022,0.015960336,0.44788098
1883,0.06108871,0.041633066,0.22489911
1204,0.09509876,0.09264815,0.07794442
1858,0.21001893,-0.1849716,-0.9549147
1301,0.14134207,0.0620131,-0.5139607
1911,0.1320205,0.09803076,0.2940923
1683,0.0009439349,0.0014159024,-0.7957523
1659,0.06774137,0.0016120553,0.0048362017
1589,-0.0010229349,0.09846554,-2.4046035
1809,0.0043703914,0.056555588,-0.03033321
1578,0.24352568,-0.13471147,-0.4041344
1685,0.08956379,0.03434565,-0.69696295
1842,0.08240702,0.07361053,-0.47916842
1873,0.08537705,0.078065574,-0.06580329
1348,0.18275459,-0.075868115,-0.12760435
1992,0.03630806,0.004462093,-1.1866138
1717,0.14179647,0.012694704,-1.5619159
1579,0.22306551,-0.31540173,0.5537948
1907,0.14630559,-0.030541614,0.6083751
1904,0.09021731,0.035325956,-2.8940222
1960,0.1762185,-0.13567226,-0.2070167
1304,0.024805874,-0.21279119,0.7616264
1484,0.14003189,0.010047769,-2.8698564
1802,0.1656071,-0.0015893579,0.5952319
1093,0.23161404,-0.05257894,-0.45773682
1099,0.16804509,0.0020676374,-1.0937971
1361,0.027049195,0.090573765,-0.22827864
1959,0.038611382,0.007917074,0.12375122
1443,0.05311332,0.079669975,0.03900993
1098,0.0029180646,0.054377098,0.06313121
1979,0.21376602,-0.029350966,0.21194702
1637,0.17573385,0.013600779,-3.9591975
1422,0.15853542,-0.012196869,0.56340945
1245,0.0017558932,0.05263384,0.05790162
1651,0.13455194,0.051827915,0.25548378
1900,0.029742252,0.09461341,-1.1161598
1808,0.2509059,-0.07364115,-0.12092352
1803,0.18056884,0.020853305,-2.23744
1612,0.070545234,0.0058178483,0.017453551
1615,0.14025082,0.06037622,-0.61887133
1375,0.160142,0.040213015,0.32063895
1091,0.46476775,0.047151625,-1.8585452
1250,0.22335906,-0.014961407,-0.044884227
1288,0.10543859,0.008157885,0.12447371
1193,0.18423891,-0.22364163,-0.6709249
1179,0.18800035,-0.16799948,-1.1039984
1495,0.09296254,0.03944381,-0.18166855
1382,0.05142957,0.027144354,-0.11856697
1529,0.13337329,0.050059926,-1.5498203
1319,0.12120977,0.031814657,0.09544395
1692,0.22792307,-0.108115405,-1.1243463
1759,0.17687385,-0.13468923,-0.2040677
1559,0.13688233,-0.09467649,0.5159706
1851,0.06344111,0.045161664,-0.96451503
1829,0.020460915,-1.3693086,0.5920743
