,x1,x2,x3
1662,0.03868885,0.048361063,1.0063944
1883,0.022177422,0.0027217628,-2.014012
1533,0.083490774,0.0043634414,-1.5704004
1374,0.0035506696,-0.02056166,0.83476436
1839,0.024345791,0.18043223,1.4169508
1658,0.06374368,0.054679606,1.6002952
1154,0.37832615,0.072907664,1.740397
1415,0.008249378,0.060311724,-1.3273143
1845,0.062778056,-0.64652747,1.1976396
1353,0.009516287,0.08689542,-2.84883
1413,0.015020562,0.093775705,0.46630654
1692,0.055846117,0.019807648,0.90357685
1868,0.010479873,0.088099845,0.6538197
1332,0.054967023,0.093708776,-2.5738406
1882,0.09796216,-0.102547295,0.69439596
1292,0.021746397,0.17718306,1.2098026
1777,0.040453386,0.025566673,0.7362468
1724,0.019913936,0.04989233,-4.8702364
1539,0.013625014,0.017031252,-1.8625313
1440,-0.39255682,0.059303988,0.97046876
1918,0.02510581,0.0063823224,0.4940411
1093,0.063228086,0.07903504,-2.326123
1455,0.0066834525,0.18335432,0.1433795
1293,0.0070549846,0.058818746,-2.430599
1904,0.080434605,0.025543261,0.49619508
1131,0.048768666,0.010960829,1.4841138
1606,0.023328757,0.07916097,-1.3858459
1524,0.09578799,0.09473499,1.688417
1334,0.027383441,0.03422931,-0.62469554
1913,0.068707734,0.03588466,1.5389462
1346,0.009535444,0.03691932,1.2012225
1425,-0.107271925,0.0659101,0.5050022
1145,0.05893569,0.048669674,-2.8129268
1680,0.035717033,0.019646263,1.1232219
1809,0.008740783,0.06092601,-2.125963
1452,0.081817746,0.002272272,-4.475001
1900,0.059484504,0.024355602,-2.9864178
1764,0.004563925,0.05570491,0.16255079
1578,0.08705137,0.00881424,-3.3606086
1759,0.053747702,0.04218469,0.9728062
1589,0.09795413,0.097442724,-4.705626
1283,0.057562232,0.02195282,1.1082962
1560,-0.0006959081,0.04913013,-0.9519138
1869,0.06013124,0.00016404987,-0.45963907
1427,0.006937233,0.058671538,1.4690775
1182,0.04402524,0.005031553,0.17106941
1607,0.08041744,0.025521804,-5.2038517
1518,0.034557454,0.043196827,-0.40496698
1235,0.0033578991,0.02919736,-1.5157659
1206,0.057734657,0.37216836,-1.4412297
1880,0.45552707,0.019408833,-1.0973005
1528,0.033545744,0.066932164,1.2672508
1326,0.060154628,0.050193407,0.7904254
1580,0.03617432,0.09521787,-2.8505206
1966,0.049985874,0.062482357,1.2374612
1144,0.08768809,0.05961008,-2.1088579
1008,0.09827194,0.07283993,1.4202479
1284,0.18263146,0.0032893657,-4.8727636
1248,0.061135434,0.026419353,0.91812253
1581,0.07136702,-0.31079122,0.5962593
1687,0.07756038,0.021950472,-1.3117089
1128,0.07359591,0.06699488,-0.5726113
1014,0.06291515,0.05364392,-1.0019833
1896,0.059493996,-0.0006324768,-2.2613914
1666,0.05354791,0.06693488,-0.55274326
1729,-0.12254783,0.046815213,0.56299347
1306,0.011860609,0.089825764,-0.74238324
1731,0.05903077,-0.0012115955,0.8373345
1804,0.08863127,0.03578906,-3.4812639
1373,0.08574442,0.057180535,1.3857971
1236,0.025873626,0.0073420764,-1.7038474
1394,0.07162683,0.08953357,-1.3030262
1166,0.05659038,0.045737974,1.5806235
1141,0.05441401,0.018017482,1.2996385
1483,0.0067467215,0.058433343,0.46855342
1106,-0.8385662,0.0017922402,0.54394287
1681,0.005173087,0.08146639,-0.76077396
1275,0.039124697,0.023905871,1.532593
1734,0.17462714,0.04328389,-0.8447754
1302,0.059421394,-0.0007232547,-0.36159113
1529,0.06674657,0.08343315,0.883553
1992,0.07261612,0.040770125,-3.0503058
1305,0.07551346,0.044391822,-5.542338
1245,0.0035117865,0.054389764,1.0596573
1781,0.29720813,0.07151015,-1.8826777
1717,0.08359294,0.15449123,0.87988055
1337,0.0030819892,0.053852487,0.15847547
1501,-0.2048248,0.043968994,1.2367318
1001,0.096981004,0.04622631,0.3416978
1592,0.028096985,-0.31487876,0.52726674
1108,-0.032597266,0.059253417,0.51035756
1643,0.09119423,0.08899278,0.87578416
1202,0.06499805,0.031247567,-3.2712553
1796,0.032922186,0.09115271,-1.1594641
1268,0.087095164,0.033869077,-4.585488
1011,0.03400507,0.092506334,-3.1564863
1331,0.052875437,-0.8839057,0.69540745
1259,0.09474343,0.093429305,1.4855446
1791,0.0032315017,0.029039407,-0.6161133
1983,0.074575625,0.06821952,-1.6699171
