,x1,x2,x3
1321,-0.8389003,-1.2986255,-0.5569759
1931,-1.1506244,-1.0132805,-0.18921714
1813,-1.0265647,-1.733206,-0.97305334
1091,-1.0012252,-1.1515316,-0.45336932
1347,-0.19984001,-0.6748,0.07544001
1027,-0.76203996,-0.65255,-0.19560997
1077,-0.8748214,-0.91852677,-1.3807589
1501,-0.61324066,-0.6665508,-0.086411856
1359,-0.35797387,-0.22246736,0.4905718
1465,-0.018983483,-0.023729354,0.5477954
1449,-1.2373853,-1.5467316,-0.9028094
1378,-0.49055812,-0.71319765,0.15096521
1632,-0.20511165,-0.25638956,0.33594298
1390,-0.38273406,-0.5784176,0.44748133
1231,-0.3056683,-0.38208538,0.25941217
1155,-0.71035653,-0.88794565,-0.25348037
1429,-1.0917596,-1.2146995,-0.25233892
1975,-1.3421184,-1.777648,-0.59082544
1430,-0.5801937,-0.7502421,0.029467368
1367,-0.30977285,-0.48721606,0.24812463
1674,-0.63490105,-0.7936263,0.054022122
1918,-0.875868,-1.0698351,0.56636304
1306,-0.01951606,0.05060492,0.57133085
1381,-2.0353556,-2.5441945,-1.7972276
1309,-1.0885235,-1.3356544,-0.5184396
1846,-2.1056337,-2.6820421,-1.1404927
1595,-1.0754088,-1.3192611,-0.082374
1710,-0.03768981,-0.04711226,0.49635303
1676,-1.1699008,-1.4373759,-0.7422269
1982,-0.7150437,-0.86880463,-0.19137013
1761,-1.4280851,-1.7851064,-1.1272342
1364,-1.4540371,-1.8175464,-1.0986022
1240,-0.69031554,-1.1628944,-0.29836777
1693,-0.008335121,-0.010418901,0.6770784
1763,-0.913485,-1.5418562,-0.8120838
1816,-0.32680896,-0.4085112,0.30127537
1302,-1.2288272,-1.2860341,-2.1292748
1620,-1.5284902,-1.5856127,-1.1283479
1451,-1.0966098,-1.3457623,-0.7406769
1436,-0.5427114,-0.7283892,-0.14245619
1977,-0.9970377,-1.4462972,-0.14185372
1808,-0.3883536,-1.085442,-0.26797235
1166,-0.261474,-0.4268425,0.28094643
1082,-0.031247357,-0.5640592,0.33906975
1235,-1.7170174,-2.1462717,-1.321798
1202,-1.2185881,-1.5232351,-0.5511171
1805,-0.6931164,-0.96639556,-0.30607012
1020,-0.36152133,-0.9269017,-0.019183684
1011,-0.94060254,-1.2007532,-0.36165714
1925,-1.4107454,-1.7384317,-0.7045497
1498,-1.0321954,-1.2902443,-0.63853747
1490,-1.2552,-1.569,-0.25180012
1148,-0.72634894,-1.1329362,-0.07245962
1737,-1.2139103,-1.5673879,-0.88825345
1446,-2.599626,-2.7745328,-2.1239722
1905,-0.94121057,-0.8265132,-0.13832912
1927,-1.7521387,-1.6651734,-1.2433815
1180,-1.1244404,-0.8805505,-0.41721112
1946,-0.9669927,-1.1087408,-0.45923
1014,-0.5457578,-0.7071972,0.024166156
1802,-1.0174888,-1.2718611,-0.6980945
1791,-0.56965244,-1.1120656,-0.3665443
1132,-0.95277226,-1.1909654,-0.62012386
1509,-0.1944405,-0.54305065,0.16528864
1841,-1.0340599,-1.5925748,-0.84366465
1283,-0.6549415,-0.79367685,-0.12608907
1171,-1.4801407,-1.9501759,-1.0703869
1006,-0.91945136,-1.3743142,-0.7034911
1962,-0.07106275,-0.91382843,-0.57042253
1145,-0.016138041,0.07982745,0.6556204
1402,-0.89859664,-2.5232458,-1.3711408
1859,-0.83121586,-1.0390198,-0.08584361
1147,-0.8662565,-1.0828207,-0.28220537
1219,-1.6055601,-2.0319502,-1.39029
1137,-1.7013581,-1.6016977,-1.2037349
1736,-1.7897564,-2.2371955,-1.6218302
1046,-0.19976865,-0.2247108,0.32563624
1895,-1.8621552,-2.102694,-1.1459267
1395,-0.32899225,-0.4112403,0.19527128
1531,-1.2802209,-1.4502761,-0.57060724
1994,-0.2206504,-0.375813,0.19321136
1878,-1.6319011,-2.0398765,-1.3877283
1673,-0.11568245,-0.14460307,0.48187324
1963,-0.79536486,-0.9692061,-0.012253379
1103,-1.8897672,-2.3622088,-1.6968594
1088,-0.7686008,-0.91075104,-0.3636524
1260,-0.3855258,-0.43190724,0.6898041
1661,-1.9304063,-2.563008,-1.7586173
1373,-0.9273154,-1.0091443,-0.5001174
1463,-0.16825786,-0.4353223,0.5622909
1218,-1.2192577,-1.9990721,-1.0779585
1821,-0.83418953,-1.1427369,-0.29402113
1369,-0.7595101,-1.0243876,0.18634725
1769,-0.011455485,-0.014319356,0.9684974
1351,-0.9540492,-1.1675615,-0.5486353
1672,-0.5114609,-0.8393261,-0.20651744
1467,-0.78932315,-1.3866539,-0.57063866
1853,-0.95324767,-1.0665596,-0.5464312
1593,-0.817114,-1.0213925,-0.4470634
1496,-1.3428551,-1.6785688,-0.9928513
