,x1,x2,x3
1610,0.0,0.1,3.0
1379,-0.1,-0.5,5.9
1859,0.4,0.0,2.5
1574,0.1,-0.2,3.0
1414,0.1,-0.2,1.7
1221,0.1,-0.1,3.6
1814,-0.0,0.1,4.7
1652,0.0,-0.0,1.8
1861,-0.0,0.2,2.5
1257,-0.1,-0.1,0.2
1915,0.1,0.2,0.0
1360,0.1,-0.1,0.6
1560,-0.1,-0.1,4.0
1794,-0.0,-0.1,0.1
1771,-0.2,0.1,0.4
1469,-0.0,0.1,4.0
1675,0.2,-0.0,3.5
1870,0.0,-0.4,0.1
1362,-0.0,-0.4,7.8
1291,-0.0,-0.0,3.8
1331,0.1,0.0,2.8
1621,0.0,0.0,3.4
1625,0.0,0.1,2.2
1146,-0.0,-0.0,3.1
1369,0.1,-0.2,3.7
1805,0.0,0.2,0.5
1090,0.1,0.1,5.6
1070,-0.1,0.0,2.7
1940,0.1,-0.2,2.6
1026,-0.0,-0.1,2.2
1658,0.0,-0.0,4.2
1505,-0.1,-0.3,9.5
1258,-0.0,0.0,3.1
1361,0.0,0.0,0.1
1707,0.0,-0.1,2.9
1982,-0.1,-0.2,2.7
1914,-0.1,-0.0,3.2
1168,-0.1,0.1,3.0
1557,0.2,-0.1,2.1
1415,0.0,-0.1,3.1
1370,-0.0,-0.0,2.8
1708,-0.0,0.4,6.7
1680,0.1,0.0,4.8
1103,-0.0,-0.1,2.7
1276,-0.0,-0.0,2.8
1593,0.0,0.0,0.1
1133,0.2,-0.1,1.9
1447,0.0,-0.0,2.0
1766,-0.0,-0.0,0.6
1934,0.0,0.2,2.3
1439,-0.1,0.2,0.6
1034,-0.0,-0.1,3.0
1067,0.1,-0.1,2.5
1329,0.1,-0.1,3.0
1827,0.1,0.1,1.7
1147,0.2,0.0,0.0
1012,0.0,-0.0,3.4
1725,0.0,0.0,0.1
1821,-0.2,0.2,7.2
1170,-0.1,0.0,4.1
1949,-0.2,-0.1,2.8
1306,0.0,0.1,2.6
1773,-0.0,0.0,2.9
1533,0.1,-0.1,2.4
1236,-0.1,-0.0,4.6
1664,-0.0,0.1,0.6
1443,0.5,0.0,0.0
1778,-0.0,-0.0,3.8
1709,-0.3,-0.0,2.1
1234,-0.1,-0.2,4.4
1585,0.1,-0.1,0.3
1295,0.2,-0.1,3.4
1745,-0.0,0.1,2.8
1287,0.1,-0.1,0.3
1801,-0.0,0.1,2.2
1435,-0.0,0.2,3.3
1907,-0.0,-0.1,0.3
1611,-0.0,-0.0,4.3
1723,-0.1,-0.0,4.9
1193,0.1,0.1,0.3
1310,0.1,-0.2,0.3
1205,0.1,-0.1,0.4
1998,-0.1,0.0,6.9
1209,-0.1,0.1,0.4
1320,-0.0,0.0,4.3
1366,-0.1,-0.3,1.9
1097,0.1,-0.3,7.3
1102,0.1,-0.5,6.2
1954,-0.2,-0.1,4.4
1697,0.0,0.0,4.6
1950,-0.1,-0.2,1.5
1216,0.0,0.1,2.8
1540,-0.0,0.2,0.5
1203,0.0,0.0,0.6
1245,-0.0,0.0,5.1
1484,0.0,-0.0,3.9
1757,-0.0,-0.0,4.5
1900,0.0,0.0,2.0
1826,0.3,0.0,0.0
1971,-0.2,-0.2,5.2
