,x1,x2,x3
1231,0.8957286,2.191457,2.8829145
1879,1.2039235,2.107847,3.715694
1707,1.9375621,1.2751242,3.0502481
1635,0.92144376,2.4428875,3.885775
1460,1.7108976,1.8217951,4.14359
1067,1.198788,1.8975761,3.195152
1575,0.8195979,2.2391958,1.6783919
1659,0.8851123,2.1702247,2.5404491
1195,1.8000227,1.9000454,4.300091
1949,0.9989933,2.0979865,3.095973
1313,0.8631362,2.1262724,1.9525447
1236,0.7860346,2.2720692,2.3441381
1316,0.8739075,2.347815,3.49563
1293,1.1812154,2.1624308,3.9248614
1924,0.8309087,2.1618176,0.62363505
1778,0.83755,2.1751,2.6502
1835,-0.62436914,3.7512617,3.3025234
1281,2.198693,1.4973861,3.4947724
1431,-0.004991853,3.2900162,3.6800323
1233,0.80348796,2.206976,2.0139518
1855,0.8538954,2.2077909,2.3155818
1145,0.13713817,2.8742764,2.8485527
1486,0.16923419,3.2384684,3.9769366
1227,0.93909323,2.3781865,3.756373
1221,1.9900779,1.0801557,2.6603117
1923,0.8659768,2.1319537,2.3639073
1495,2.1915593,0.8831186,2.7662373
1191,0.9950594,2.3901188,3.9802375
1289,0.8386588,2.1773176,1.3546352
1716,0.78068787,1.9613757,3.4227514
1806,1.002673,2.305346,3.810692
1519,0.8773643,2.1547284,2.8094568
1206,0.49005035,2.5801008,2.6602015
1348,1.0397902,2.3795803,4.0591607
1168,-0.37789518,3.4442096,2.988419
1955,0.8444014,2.2888029,3.277606
1562,-0.6747676,3.8504648,3.3009298
1982,0.87387884,2.1477578,2.8955154
1655,0.86120456,2.122409,2.5448184
1801,0.92209023,2.2441804,3.388361
1467,0.77287894,1.9457579,3.3915157
1105,2.0482273,1.0964549,3.3929093
1287,1.9787347,2.0574694,4.614939
1681,0.8471882,2.1943762,2.5887527
1992,0.8672161,2.134432,2.7688642
1414,0.91017914,2.3203583,3.6407166
1858,0.8850601,2.2701201,3.24024
1632,0.7032363,2.7064726,4.012945
1661,0.37478432,2.8495686,3.4991372
1469,0.90133953,2.102679,2.5053582
1150,-0.30664858,3.2867029,2.2734058
1646,0.84395266,2.1879053,2.9758105
1911,-1.0305511,4.138898,3.077796
1895,1.0695254,2.1390507,3.4781015
1162,0.857066,2.314132,3.3282638
1873,0.9028587,2.4057174,3.8114347
1680,0.03670778,2.9734156,2.146831
1457,0.95909774,2.0181954,1.8363907
1352,-0.3411055,3.317789,3.6355782
1308,0.9346862,2.4693723,4.0387444
1254,0.2890187,2.8780375,3.256075
1007,1.0118837,2.2237673,3.5475347
1223,1.1809355,1.961871,3.323742
1319,0.4125646,2.7251291,2.9502585
1267,1.9385424,1.6770847,3.8541696
1306,0.90834796,2.2166958,3.2333918
1805,1.016342,2.4326842,4.065368
1907,1.7244629,1.7489257,3.9978516
1560,-0.6017623,3.5964754,2.3929508
1621,2.064719,1.229438,2.9588761
1408,0.8753545,2.1507092,2.4014184
1237,0.9852069,2.3704138,3.8408272
1418,0.6772974,2.5545948,3.6091895
1900,1.711325,1.5226501,3.5453005
1523,0.89333844,2.186677,3.0733538
1651,0.803645,2.2072902,0.91458035
1985,0.7965922,2.1931844,2.0863688
1276,0.91870993,2.13742,3.0748398
1565,-0.38314575,3.7337084,3.6674168
1178,0.96520185,2.3304038,3.7608075
1532,-1.1125386,4.174923,2.5498462
1639,0.24771324,2.7954264,2.8908527
1711,0.87723607,2.254472,3.2089443
1603,-0.20784163,2.9843168,3.4686337
1677,1.8324263,1.6648526,3.8297055
1065,0.79320306,2.1864061,2.4728122
1234,0.8660844,2.1321688,2.5643375
1952,-0.2648269,3.570346,3.7406921
1033,0.7527557,2.5055113,3.7110226
1257,0.9606429,2.4212856,3.9425714
1899,-0.66697776,3.9660444,3.6320887
1356,0.8676163,2.1352327,2.4704654
1071,0.89828223,2.2965646,3.3931293
1892,1.8702863,1.1405725,2.6811452
1329,0.87926304,2.1585262,3.0170524
1563,1.7839524,1.3679048,3.3358092
1295,2.4063613,0.61272264,2.8254452
1938,0.83882624,2.2776525,3.2553053
1111,0.8853263,2.3706527,3.6413054
1934,1.9624431,1.7248862,3.9497724
