ix,goal_cost,intv_cost
1605,0.957,1.7
1468,0.969,2.9
1733,0.96,2.1
1797,0.955,4.8
1093,0.956,4.4
1934,0.952,2.4
1886,0.959,2.8
1786,0.952,1.9
1254,0.954,2.6
1999,0.9539999961853027,2.0
1598,0.955,2.1
1415,0.975,2.9
1674,0.9599999785423279,3.0
1616,0.955,1.7
1446,0.956,1.9
1412,0.954,3.6
1781,0.968,2.5
1097,0.953,8.3
1819,0.951,2.3
1379,0.955,8.0
1054,0.975,2.4
1658,0.9660000205039978,3.5
1537,0.955,2.7
1440,0.956,2.6
1476,0.955,1.9
1576,0.955,6.7
1913,0.953,2.0
1189,0.967,2.9
1911,0.953,5.4
1683,0.957,2.2
1242,0.9509999752044678,1.5
1787,0.956,3.0
1066,0.959,1.7
1930,0.952,1.9
1696,0.975,2.4
1331,0.955,2.7
1751,0.975,2.4
1914,0.964,3.1
1742,0.959,5.6
1324,0.9829999804496765,2.5
1076,0.955,3.7
1793,0.9509999752044678,1.5
1574,0.953,5.8
1561,0.954,2.7
1349,0.957,2.6
1186,0.956,2.6
1179,0.962,2.8
1191,0.954,2.1
1773,0.955,5.6
1287,0.951,2.1
1801,0.967,2.6
1016,0.953000009059906,2.0
1174,0.953,3.0999999999999996
1992,0.952,2.9
1184,0.952,1.9
1572,0.969,2.2
1454,0.954,1.6
1356,0.9729999899864197,3.5
1460,0.977,2.4
1397,0.951,4.0
1439,0.956,2.2
1778,0.957,6.199999999999999
1011,0.951,1.8
1883,0.965,2.5
1987,0.9570000171661377,1.5
1697,0.955,7.1
1633,0.964,2.6
1162,0.975,2.8
1603,0.972,2.2
1835,0.953000009059906,2.5
1852,0.974,2.2
1227,0.957,2.3
1575,0.955,8.4
1486,0.951,2.1
1290,0.956,1.8
1309,0.9549999833106995,1.5
1821,0.9549999833106995,9.0
1110,0.975,3.3
1935,0.952,4.9
1452,0.956,2.5
1245,0.953,7.1
1237,0.958,4.5
1437,0.969,2.6
1039,0.959,1.6
1150,0.955,6.9
1159,0.952,1.8
1118,0.957,2.2
1725,0.96,2.1
1277,0.957,2.2
1895,0.98,2.8
1418,0.953,2.3
1824,0.96,3.3
1503,0.953,5.6
1961,0.975,2.9
1410,0.953,2.3
1143,0.952,1.9
1340,0.952,1.8
1484,0.954,6.1
1996,0.954,2.0
1989,0.953,6.2
