ix,goal_cost,intv_cost
1157,1.0,2.3
1133,1.0,1.5
1996,1.0,1.1
1220,1.0,1.1
1257,1.0,0.1
1974,1.0,0.4
1034,1.0,4.1
1460,1.0,4.6
1662,1.0,2.9000000000000004
1614,1.0,0.1
1114,1.0,2.0
1552,1.0,0.4
1956,1.0,0.30000000000000004
1397,1.0,0.5
1229,1.0,0.5
1286,1.0,1.4000000000000001
1607,1.0,6.3
1483,1.0,3.7
1758,1.0,0.8
1883,1.0,1.5
1109,1.0,1.8
1968,1.0,1.5
1889,1.0,1.4
1448,1.0,0.2
1409,1.0,0.7999999999999999
1108,1.0,0.1
1665,1.0,2.3
1562,1.0,2.7
1194,1.0,3.2
1292,1.0,1.6
1926,1.0,4.7
1668,1.0,2.4000000000000004
1171,1.0,1.5
1099,1.0,3.9
1131,1.0,0.4
1300,1.0,0.5
1015,1.0,1.4
1485,1.0,0.6
1344,1.0,0.8
1165,1.0,1.0
1005,1.0,3.2
1093,1.0,2.0
1731,1.0,2.5
1894,1.0,3.7
1522,1.0,0.7
1391,1.0,2.1
1903,1.0,3.5
1337,1.0,0.4
1845,1.0,0.9
1014,1.0,0.7
1002,1.0,1.0
1693,1.0,2.3000000000000003
1864,1.0,0.4
1578,1.0,2.8000000000000003
1868,1.0,0.6
1450,1.0,0.6
1954,1.0,2.5
1628,1.0,0.8
1904,1.0,4.199999999999999
1070,1.0,0.6000000000000001
1779,1.0,0.8
1934,1.0,1.0
1554,1.0,3.0
1747,1.0,2.5
1592,1.0,0.4
1606,1.0,0.7
1000,1.0,2.1
1084,1.0,1.8
1303,1.0,0.7
1323,1.0,1.2000000000000002
1230,1.0,0.7000000000000001
1020,1.0,0.8999999999999999
1100,1.0,0.4
1057,1.0,0.7999999999999999
1111,1.0,4.6000000000000005
1601,1.0,0.30000000000000004
1132,1.0,0.3
1089,1.0,2.2
1146,1.0,1.9000000000000001
1371,1.0,0.8999999999999999
1700,1.0,1.0
1847,1.0,1.7000000000000002
1528,1.0,1.4000000000000001
1044,1.0,0.30000000000000004
1309,1.0,0.9
1304,1.0,1.5999999999999999
1359,1.0,0.4
1981,1.0,2.8
1634,1.0,0.7
1642,1.0,3.0
1439,1.0,2.4
1998,1.0,3.5
1501,1.0,1.4
1730,1.0,0.3
1424,1.0,0.6
1608,1.0,0.7
1882,1.0,0.30000000000000004
1542,1.0,3.5999999999999996
1322,1.0,1.3
1568,1.0,3.5
