,x1,x2,x3
1157,0.0,0.0,2.1
1133,-0.0,-0.0,0.8
1996,-0.3,-0.3,0.5
1220,0.1,-0.9,0.4
1257,0.0,0.0,0.2
1974,-0.0,-0.5,-0.1
1034,0.2,-0.1,5.9
1460,-0.0,-0.2,3.1
1662,-0.0,0.1,2.2
1614,0.0,0.0,0.1
1114,0.1,0.0,2.6
1552,-0.5,0.0,-0.2
1956,0.0,-0.1,0.1
1397,0.0,0.0,0.4
1229,0.0,0.0,0.4
1286,0.0,0.0,1.2
1607,0.1,0.1,4.3
1483,0.0,0.0,3.5
1758,-0.4,-0.0,0.5
1883,0.0,-0.0,1.6
1109,-0.8,-0.0,0.7
1968,-0.0,0.0,1.4
1889,-0.0,-0.6,0.8
1448,0.0,0.0,0.7
1409,0.0,-0.4,0.1
1108,0.0,0.0,0.1
1665,-0.0,0.0,1.8
1562,0.1,0.0,3.3
1194,-0.1,0.2,2.4
1292,-0.0,-0.0,1.6
1926,0.1,-0.0,5.6
1668,0.0,0.1,2.2
1171,-0.0,0.0,1.7
1099,-0.0,-0.1,3.8
1131,-0.4,-0.0,0.1
1300,-0.0,-0.1,0.6
1015,0.0,-0.0,1.7
1485,-0.1,-0.1,0.4
1344,0.1,-0.0,1.1
1165,0.0,0.0,0.9
1005,0.0,0.1,2.7
1093,0.1,0.1,2.9
1731,0.0,-0.0,2.5
1894,0.2,0.1,3.3
1522,-0.8,-0.1,0.3
1391,0.0,0.1,1.6
1903,0.1,0.1,3.3
1337,-0.1,-0.3,0.1
1845,-0.0,-0.0,0.9
1014,-0.1,-0.2,0.5
1002,-0.0,-0.0,1.8
1693,0.1,0.0,3.1
1864,-0.1,0.0,0.7
1578,0.0,0.1,2.7
1868,0.0,-0.1,0.2
1450,-0.5,-0.0,-0.2
1954,0.1,0.1,2.8
1628,0.0,-0.5,0.1
1904,-0.0,0.0,3.8
1070,-0.1,0.1,0.4
1779,-0.8,0.0,0.1
1934,-0.7,0.1,0.3
1554,0.2,0.1,3.4
1747,0.0,0.1,2.0
1592,-0.5,0.0,0.1
1606,-0.1,-0.2,0.7
1000,-0.1,0.1,2.3
1084,0.1,-0.1,1.3
1303,-0.2,-0.2,0.2
1323,0.1,-0.2,0.9
1230,-0.4,0.1,0.3
1020,-0.0,-1.0,0.1
1100,-0.1,-0.1,0.5
1057,-0.8,0.0,0.4
1111,-0.3,-0.1,3.6
1601,0.0,0.0,0.1
1132,-0.7,-0.0,0.1
1089,-0.0,0.2,2.6
1146,-1.8,0.0,0.1
1371,0.0,-0.0,1.1
1700,0.1,-0.8,0.3
1847,-0.2,-0.2,1.3
1528,0.2,-0.6,0.8
1044,-0.0,-0.3,-0.1
1309,0.0,0.1,1.6
1304,-0.2,0.1,1.5
1359,-0.0,-0.5,-0.1
1981,-0.1,-0.3,2.5
1634,-0.0,-0.0,0.5
1642,-0.0,-0.0,1.3
1439,0.0,-0.4,1.8
1998,-0.0,-0.3,3.0
1501,-0.1,-0.3,0.1
1730,0.0,-0.1,0.2
1424,-1.2,0.0,-0.1
1608,0.1,-0.6,-0.1
1882,0.0,0.0,0.1
1542,0.1,-0.1,4.4
1322,0.1,-0.1,1.4
1568,0.1,-0.1,3.2
