,x1,x2
1214,1.7,0.0
1738,2.0,3.0
1976,1.6,-0.0
1579,1.9,0.0
1284,2.3,-0.0
1161,2.2,-0.0
1717,1.7,2.7
1109,1.6,-0.0
1874,2.3,2.1
1961,1.7,0.0
1003,1.7,0.0
1704,2.0,0.0
1323,1.6,0.0
1739,1.6,2.3
1119,1.5,0.0
1777,1.8,2.7
1301,1.6,2.5
1193,1.8,2.6
1236,1.6,-0.0
1219,1.4,2.1
1859,2.0,-0.0
1519,1.5,0.0
1098,1.8,-0.0
1896,1.4,2.1
1484,1.9,2.9
1572,1.3,0.0
1582,2.1,0.0
1267,1.8,2.8
1474,1.2,1.9
1452,1.8,2.8
1589,1.8,2.9
1127,1.7,-0.0
1911,1.7,-0.0
1560,1.6,0.0
1683,1.9,0.0
1851,1.6,2.3
1428,2.0,0.0
1542,2.5,0.0
1443,1.9,0.0
1692,1.5,2.5
1741,1.9,0.0
1853,1.7,2.5
1622,1.6,2.3
1580,2.0,0.0
1803,1.8,2.7
1731,2.1,0.0
1002,1.4,0.0
1528,1.5,0.0
1593,1.7,0.0
1361,1.7,2.3
1554,1.8,2.7
1072,1.5,2.4
1313,1.4,-0.0
1520,1.7,0.0
1689,1.2,1.7
1268,1.8,2.7
1289,1.5,-0.0
1194,1.6,2.4
1558,1.2,1.7
1074,2.4,0.0
1398,1.7,-0.0
1093,1.9,0.0
1099,2.0,3.0
1890,1.7,-0.0
1724,1.8,2.8
1111,2.1,3.2
1304,1.7,0.0
1796,1.6,-0.0
1557,1.8,2.6
1010,1.5,0.0
1847,1.4,2.1
1804,2.0,0.0
1062,1.7,0.0
1983,1.6,-0.0
1486,1.5,-0.0
1546,1.7,0.0
1531,1.4,0.0
1742,1.3,0.0
1549,2.0,0.0
1889,1.6,0.0
1659,1.2,2.5
1615,1.5,2.2
1959,1.7,-0.0
1791,1.5,2.2
1144,0.8,2.5
1292,1.7,0.0
1036,1.6,-0.0
1189,1.5,3.5
1606,1.5,0.0
1680,1.2,1.9
1375,1.7,0.0
1403,1.8,2.7
1533,1.6,-0.0
1975,1.5,2.3
1288,1.6,-0.0
1570,2.2,0.0
1106,1.1,1.7
1968,1.7,0.0
1316,1.7,2.6
1394,1.5,0.0
