,h_post,h_post_individualized
1464,0.68,
1940,0.68,
1383,0.96,
1737,0.68,
1243,0.68,
1668,0.68,
1023,0.92,
1782,1.0,
1013,1.0,
1790,1.0,
1107,1.0,
1528,0.68,
1165,1.0,
1490,0.68,
1603,0.68,
1582,0.68,
1105,0.68,
1833,0.68,
1308,0.68,
1818,0.68,
1091,0.68,
1555,0.68,
1594,0.68,
1502,0.68,
1199,1.0,
1786,0.68,
1580,0.68,
1844,1.0,
1139,1.0,
1566,1.0,
1921,0.68,
1969,0.64,
1454,0.68,
1333,0.68,
1044,0.94,
1036,0.68,
1630,0.68,
1570,0.68,
1674,0.68,
1846,0.68,
1671,0.68,
1195,0.68,
1537,1.0,
1947,0.68,
1211,0.68,
1479,1.0,
1841,0.68,
1352,0.68,
1749,0.68,
1613,0.68,
1330,0.68,
1342,1.0,
1184,0.68,
1081,0.68,
1736,0.68,
1297,0.68,
1563,0.68,
1499,0.68,
1676,1.0,
1661,0.68,
1129,0.68,
1172,1.0,
1164,1.0,
1799,0.68,
1215,1.0,
1364,0.68,
1084,0.68,
1014,0.68,
1981,1.0,
1230,0.68,
1551,0.68,
1946,0.68,
1523,1.0,
1401,0.5,
1923,1.0,
1742,0.68,
1855,0.68,
1515,0.68,
1620,0.68,
1901,0.68,
1521,0.68,
1614,0.68,
1041,0.68,
1260,0.68,
1298,1.0,
1592,0.68,
1955,0.68,
1354,0.68,
1003,1.0,
1681,0.68,
1249,0.56,
1009,0.68,
1449,0.68,
1148,1.0,
1175,0.68,
1233,0.68,
1135,1.0,
1473,0.68,
1037,1.0,
1027,1.0,
