,x1,x2,x3
1927,1.7478613,1.4348266,2.9305491
1831,1.7876796,1.6845994,4.0599585
1942,1.857514,1.6968925,3.91192
1157,1.7655052,1.6318815,3.8628917
1496,1.7571449,1.4214312,2.835721
1074,1.8729981,1.6412476,3.587244
1872,1.7043531,1.6304413,4.0391474
1272,1.3629184,1.8786479,3.1044846
1209,1.9217081,1.7271352,3.8705513
1646,1.3783078,1.7478846,2.0045004
1011,1.7593974,1.4992467,3.2180414
1248,1.7928814,1.6161017,3.7018647
1260,1.6144742,1.5680927,3.9970412
1155,1.7896435,1.6120543,3.6913416
1161,1.7707676,1.5884595,3.6299949
1838,1.9499984,1.712498,3.7124949
1221,2.2710762,1.7888453,3.1309974
1782,1.6405004,1.5506256,3.8316264
1025,1.7357867,1.5447333,3.5163066
1059,1.7386858,1.5483572,3.525729
1996,1.372751,1.7409388,1.9864409
1749,1.6580309,1.6225386,4.1386003
1747,1.7662364,1.6077955,3.7402685
1202,1.7814119,1.4767649,3.0395887
1149,1.3481033,1.810129,2.8063354
1455,1.4053535,1.7816919,2.892399
1166,1.638526,1.5731574,3.9502091
1807,1.4476436,1.7595545,3.8548417
1154,1.6834459,1.5793074,3.8461995
1622,1.8256952,1.5571189,3.308509
1824,2.214589,2.0432365,4.572415
1061,1.8659139,1.5073924,2.9392202
1828,1.8063679,1.5829599,3.4956958
1302,1.4711727,1.8139659,4.056311
1263,1.749584,1.4119799,2.8111477
1337,1.8202728,1.650341,3.7908869
1682,1.9753379,1.5441723,2.794848
1132,1.8472277,1.7090347,4.0034895
1482,1.7992473,1.6240591,3.7225537
1345,1.649786,1.6122324,4.111804
1495,1.8944126,1.7680157,4.156841
1995,1.4612799,1.6515999,2.0741596
1593,1.482886,1.7786075,3.4443793
1811,1.4212652,1.7765816,4.019112
1444,1.8555305,1.8194132,4.5304747
1775,1.7964423,1.7455529,4.3384376
1814,1.8896425,1.6870531,3.7663379
1464,1.4504187,1.7380233,2.938861
1649,1.4165353,1.8456692,3.17874
1987,1.7062134,1.6327667,4.0451937
1776,1.8436197,1.3545246,2.241764
1453,1.3849547,1.8061936,2.276103
1685,1.7436363,1.5045453,3.2918177
1788,1.7538534,1.6173168,3.8250237
1359,1.6420261,1.5775326,3.9615848
1374,1.6415863,1.6019828,4.0851555
1661,1.4695936,1.736992,2.076179
1097,1.8325596,1.6656995,3.8308187
1433,1.7170312,1.621289,3.9553516
1249,1.4430966,1.8038707,4.090064
1003,2.1476698,2.0595872,4.854927
1527,1.6338089,1.5922611,4.059879
1586,1.7780209,1.6975261,4.153568
1632,1.6948884,1.6436105,4.1333876
1958,1.4486115,1.7357643,2.1329873
1859,1.7687842,1.5609802,3.4985485
1717,1.7124263,1.665533,4.190386
1145,2.083862,2.0798275,5.1475515
1821,1.9658104,1.7572631,3.888884
1104,1.7849537,1.6311922,3.8010995
1238,1.6960268,1.6200335,4.012087
1372,1.6382811,1.6228514,4.1994133
1080,1.7823092,1.6028864,3.6675048
1240,1.9096844,1.7371055,3.9564745
1335,1.9650996,1.3313744,1.7615736
1175,1.8328764,1.6160955,3.5818481
1454,1.7731125,1.5413907,3.3876157
1635,1.7991798,1.5989747,3.5973341
1688,1.8420987,1.7776234,4.361821
1380,1.7111832,1.638979,4.061345
1941,1.427011,1.7587638,2.7127857
1111,1.8739116,1.7173896,3.9652126
1410,1.6741695,1.6427119,4.1910505
1465,1.7810165,1.7762706,4.538304
1008,1.0795776,2.224472,3.283627
1509,1.7055595,1.6569494,4.1680684
1072,1.8580884,1.4976104,2.9137874
1969,1.6307136,1.588392,4.0498195
1761,1.3719149,1.8148936,2.7587235
1588,1.8459568,1.607446,3.4993594
1431,1.9195784,1.699473,3.7386298
1696,1.8410605,1.5013256,2.9834466
1791,1.8303475,1.6879344,3.9486294
1127,1.3944726,1.7180907,1.8070357
1613,1.8282598,1.6853248,3.9418445
1947,2.005407,1.6567589,3.2675734
1105,1.8207904,1.600988,3.5425687
1107,1.4978507,1.7223134,3.918015
1844,1.6969992,1.596249,3.8902473
1219,1.3944399,1.7680498,2.4569297
