,h_post,h_post_individualized
1229,1.0,0.9268118143081665
1014,1.0,0.8873757123947144
1351,0.0,0.003511210437864065
1689,1.0,0.8629247546195984
1193,1.0,0.5012520551681519
1741,1.0,0.7847884893417358
1306,1.0,0.900067150592804
1494,1.0,0.7984961271286011
1966,1.0,0.8781866431236267
1840,1.0,0.9205456376075745
1353,0.0,0.08289947360754013
1858,0.0,0.04500574991106987
1257,1.0,0.9338192343711853
1267,1.0,0.41820231080055237
1300,1.0,0.9109729528427124
1467,1.0,0.8974995613098145
1371,0.0,0.3605593144893646
1359,1.0,0.9207990765571594
1828,1.0,0.8931756615638733
1253,1.0,0.6783089637756348
1768,1.0,0.07476087659597397
1847,1.0,0.7704598903656006
1309,1.0,0.8884983658790588
1645,1.0,0.9143275022506714
1750,1.0,0.7595217227935791
1443,1.0,0.7285894155502319
1003,1.0,0.8707768321037292
1942,1.0,0.9124124646186829
1126,1.0,0.8707583546638489
1245,1.0,0.7687315940856934
1279,1.0,0.913975179195404
1334,1.0,0.8966468572616577
1802,1.0,0.8630140423774719
1580,0.0,0.07118628174066544
1688,1.0,0.7998113632202148
1906,1.0,0.6868985891342163
1382,1.0,0.8051472306251526
1270,0.0,0.2484225481748581
1977,1.0,0.8018478751182556
1658,1.0,0.9285115003585815
1643,1.0,0.9334657788276672
1531,1.0,0.867250919342041
1096,1.0,0.9440888166427612
1720,1.0,0.9020555019378662
1880,1.0,0.8836966156959534
1033,1.0,0.8963953852653503
1602,1.0,0.8739197850227356
1608,1.0,0.9309300780296326
1379,1.0,0.8608189225196838
1085,1.0,0.9384307861328125
1543,1.0,0.9342090487480164
1687,1.0,0.8683710694313049
1030,1.0,0.8780777454376221
1864,1.0,0.9117105603218079
1791,1.0,0.7266932725906372
1593,1.0,0.7582632899284363
1680,1.0,0.8062705993652344
1216,1.0,0.875271737575531
1132,1.0,0.917227566242218
1415,1.0,0.8681259751319885
1496,1.0,0.8967742919921875
1182,1.0,0.910390317440033
1473,1.0,0.9237372875213623
1171,1.0,0.820113480091095
1386,1.0,0.9483142495155334
1777,1.0,0.45418405532836914
1900,1.0,0.6176620125770569
1119,1.0,0.8385217189788818
1952,1.0,0.7951371669769287
1552,1.0,0.9335008263587952
1346,1.0,0.8549428582191467
1733,1.0,0.8967185020446777
1453,1.0,0.8857058882713318
1440,1.0,0.9239019155502319
1974,1.0,0.9151674509048462
1093,0.0,0.11327292025089264
1069,1.0,0.9301459193229675
1781,1.0,0.8023452758789062
1065,1.0,0.9237861633300781
1289,1.0,0.8617138266563416
1485,1.0,0.8966562747955322
1366,1.0,0.9295762777328491
1589,1.0,0.3003137409687042
1883,1.0,0.8285987377166748
1278,1.0,0.7645964622497559
1439,0.0,0.07281070202589035
1203,1.0,0.8923600912094116
1904,1.0,0.20004406571388245
1231,1.0,0.7861242890357971
1717,1.0,0.4080554246902466
1244,1.0,0.877669632434845
1271,1.0,0.9429402947425842
1483,1.0,0.23127329349517822
1422,1.0,0.8691148161888123
1484,0.0,0.013790947385132313
1623,1.0,0.9083920121192932
1556,0.0,0.1329982429742813
1202,1.0,0.6218842267990112
1935,1.0,0.9219920039176941
1333,1.0,0.866598904132843
