ix,goal_cost,intv_cost
1914,1.0,1.9
1872,1.0,0.5
1821,1.0,5.2
1675,0.996,1.2
1408,1.0,2.2
1102,0.998,3.3
1824,1.0,2.2
1563,1.0,0.6000000000000001
1484,1.0,1.8
1383,0.964,2.8
1030,1.0,2.5999999999999996
1437,1.0,0.30000000000000004
1745,1.0,0.5
1097,1.0,4.0
1084,1.0,1.5
1711,1.0,0.6
1356,1.0,2.0
1519,1.0,1.6
1955,1.0,0.6000000000000001
1648,1.0,0.5
1723,1.0,3.0999999999999996
1221,1.0,1.9
1317,1.0,1.0
1379,1.0,3.7
1941,0.966,1.1
1070,1.0,0.5
1216,1.0,1.0
1859,1.0,0.2
1060,1.0,2.1
1201,1.0,0.3
1258,1.0,1.3
1594,1.0,0.4
1892,1.0,1.5
1177,1.0,0.5
1898,1.0,0.1
1076,1.0,3.2
1816,1.0,1.6
1761,1.0,0.4
1659,1.0,2.3
1146,1.0,1.4000000000000001
1858,1.0,0.6
1245,1.0,2.9
1210,1.0,0.5
1505,1.0,6.9
1607,1.0,1.9000000000000001
1707,1.0,1.5
1010,1.0,1.8
1574,1.0,1.4000000000000001
1971,1.0,3.6
1458,1.0,0.7
1938,1.0,0.7
1561,1.0,1.0
1162,1.0,0.5
1492,1.0,1.9
1953,1.0,1.7000000000000002
1697,1.0,2.8000000000000003
1740,1.0,0.7
1276,1.0,0.8999999999999999
1469,1.0,2.1
1606,1.0,1.0
1621,1.0,1.8
1568,0.998,0.8999999999999999
1495,1.0,1.5
1629,1.0,1.0
1895,1.0,0.2
1906,1.0,1.3
1316,1.0,0.30000000000000004
1363,1.0,1.7000000000000002
1420,1.0,2.1
1658,1.0,3.1
1036,1.0,1.6
1267,1.0,0.4
1344,1.0,3.1
1985,1.0,3.0
1065,1.0,2.0
1560,1.0,2.5
1077,1.0,1.9000000000000001
1773,0.988,1.1
1075,1.0,1.7
1836,1.0,2.1
1302,1.0,5.2
1131,1.0,1.2
1529,1.0,1.3
1680,1.0,2.8
1206,1.0,2.0
1189,1.0,1.4
1320,1.0,2.3
1769,1.0,1.6
1145,1.0,1.4000000000000001
1401,1.0,1.3
1254,1.0,0.7
1814,1.0,2.8
1988,1.0,0.3
1650,1.0,1.3
1329,1.0,1.1
1427,1.0,1.1
1044,1.0,1.5
1645,1.0,2.5
1234,1.0,2.0
1166,1.0,1.7
