,x1,x2
1923,2.6,3.2
1696,1.3,1.6
1565,1.9,-0.0
1503,2.1,2.6
1973,1.5,1.6
1617,1.8,0.0
1100,2.5,-0.0
1900,1.9,-0.0
1858,2.3,2.1
1655,2.7,-0.0
1757,2.5,3.1
1773,2.4,0.0
1344,2.8,3.6
1537,2.3,0.0
1935,2.1,-0.0
1639,3.6,1.2
1961,2.0,2.3
1197,1.8,2.2
1859,2.0,0.0
1924,4.3,5.3
1077,2.3,3.1
1366,1.8,0.0
1414,2.1,1.3
1457,3.0,3.8
1797,1.7,2.1
1386,1.8,2.3
1214,3.0,3.8
1911,2.3,-0.0
1606,1.0,3.5
1971,2.5,4.1
1519,3.0,1.9
1819,1.6,2.0
1431,1.6,1.9
1864,1.8,0.0
1438,2.0,2.5
1464,2.0,-0.0
1683,1.6,0.0
1575,3.3,4.1
1955,2.3,0.0
1435,2.1,2.8
1740,2.1,0.0
1253,1.7,-0.0
1680,2.6,3.6
1952,1.6,1.5
1645,2.7,3.4
1708,3.1,3.8
1742,2.6,-0.0
1097,3.2,4.1
1560,2.5,3.2
1652,1.8,-0.0
1942,2.1,-0.0
1028,2.3,3.3
1276,2.0,2.5
1569,4.0,0.0
1607,2.3,2.9
1093,1.2,1.8
1872,2.2,0.0
1443,1.7,1.4
1994,2.3,0.0
1133,1.6,2.1
1291,2.9,-0.0
1769,2.2,2.7
1379,3.1,3.9
1561,2.3,-0.0
1675,2.4,-0.0
1026,2.0,-0.0
1709,2.1,-0.0
1926,2.2,0.0
1495,2.6,2.5
1331,2.3,-0.0
1201,2.1,0.0
1938,2.5,-0.0
1427,2.0,2.6
1523,2.0,2.5
1044,2.1,2.9
1189,2.3,0.0
1646,2.1,2.6
1070,1.9,2.3
1836,3.0,2.7
1102,2.9,3.6
1746,1.5,-0.0
1539,2.5,3.2
1831,2.4,-0.0
1383,0.7,5.6
1658,2.6,3.2
1588,2.9,3.6
1178,1.8,-0.0
1131,2.4,0.0
1258,3.6,1.3
1532,2.4,3.1
1567,1.8,-0.0
1166,2.3,2.8
1388,2.1,4.4
1661,2.0,-0.0
1717,2.2,0.0
1033,1.8,-0.0
1821,3.3,4.7
1625,2.1,-0.0
1633,2.1,-0.0
1146,2.4,-0.0
