,x1,x2
1258,2.6,0.0
1007,2.2,0.0
1223,2.0,0.0
1067,1.7,3.3
1681,2.2,4.4
1310,1.3,2.3
1639,2.4,0.0
1332,1.1,3.2
1922,2.0,0.0
1626,1.2,3.1
1539,2.6,4.5
1923,3.2,-0.0
1791,1.5,4.9
1587,1.1,4.7
1726,1.0,2.1
1860,2.3,0.0
1233,2.8,5.5
1696,1.9,-0.0
1234,2.7,-0.0
1621,2.1,4.2
1203,2.2,0.0
1281,2.6,0.0
1277,1.7,0.0
1295,2.0,3.9
1594,2.0,-0.0
1459,2.2,-0.0
1841,1.5,0.0
1949,2.2,-0.0
1434,2.3,4.5
1569,3.5,4.0
1801,0.7,3.9
1661,1.5,3.0
1133,1.4,2.9
1655,1.1,5.5
1842,1.2,3.3
1872,1.6,3.2
1537,2.2,-0.0
1884,2.2,4.5
1486,1.8,-0.0
1274,1.8,3.6
1216,1.8,3.7
1219,2.2,2.8
1346,0.9,2.3
1855,4.4,3.1
1940,1.7,3.4
1797,0.2,4.2
1191,1.2,2.3
1103,2.1,3.1
1781,1.4,2.9
1224,1.3,2.5
1469,2.3,4.5
1821,3.4,6.8
1660,1.3,5.7
1308,1.1,2.3
1227,1.9,0.0
1631,1.0,2.2
1861,2.0,0.0
1166,2.1,4.1
1147,1.6,-0.0
1267,2.3,0.0
1707,2.1,3.7
1344,2.7,5.4
1161,2.9,0.0
1761,1.5,3.1
1186,1.6,3.3
1533,1.7,3.3
1462,1.5,-0.0
1836,2.5,4.6
1288,2.1,0.0
1312,4.1,4.4
1519,2.5,-0.0
1650,2.6,-0.0
1953,2.7,0.0
1400,3.0,6.1
1245,1.6,6.1
1988,2.0,0.0
1898,1.9,-0.0
1651,3.9,7.7
1831,1.8,3.1
1933,1.8,3.6
1675,1.2,4.4
1331,1.8,3.5
1170,2.1,4.3
1504,2.1,-0.0
1798,1.5,2.9
1955,2.2,0.0
1598,1.6,-0.0
1388,3.0,5.2
1065,2.9,-0.0
1231,1.8,4.1
1284,1.9,3.8
1033,0.1,3.8
1253,2.4,0.0
1896,3.0,6.0
1633,1.6,3.1
1071,1.6,3.1
1313,2.8,5.6
1982,0.1,5.6
1560,2.1,5.0
1302,3.3,6.9
