ix,goal_cost,intv_cost
1459,1.0,1.2000000000000002
1434,1.0,2.0
1250,1.0,3.6
1484,1.0,9.399999999999999
1623,1.0,0.30000000000000004
1550,1.0,3.2
1199,1.0,0.8
1977,1.0,3.4
1244,1.0,0.4
1808,1.0,5.1000000000000005
1594,1.0,0.30000000000000004
1284,1.0,7.5
1218,1.0,0.1
1776,1.0,0.3
1348,1.0,5.0
1874,1.0,7.1
1945,1.0,2.6
1008,1.0,1.1
1324,1.0,2.7
1809,1.0,4.4
1668,1.0,5.0
1057,1.0,1.1
1361,1.0,5.4
1147,1.0,6.6
1298,1.0,2.7
1700,1.0,0.9
1322,1.0,2.3000000000000003
1236,1.0,3.2
1739,1.0,5.2
1880,1.0,1.3
1133,1.0,0.5
1036,1.0,3.3000000000000003
1720,1.0,0.1
1902,1.0,0.3
1983,1.0,3.0
1014,1.0,0.6
1570,1.0,6.3
1267,1.0,6.2
1934,1.0,0.1
1253,1.0,5.5
1436,1.0,0.4
1453,1.0,1.2
1106,1.0,2.8
1529,1.0,6.0
1357,1.0,5.0
1373,1.0,0.9
1270,1.0,2.8000000000000003
1308,1.0,0.5
1779,1.0,0.7
1479,1.0,3.4
1006,1.0,0.5
1863,1.0,2.8
1580,1.0,5.0
1542,1.0,8.2
1820,1.0,2.9
1449,1.0,0.4
1231,1.0,3.5
1304,1.0,1.9
1025,1.0,0.9
1375,1.0,3.4000000000000004
1158,1.0,5.699999999999999
1089,1.0,4.7
1353,1.0,4.6
1671,1.0,3.3
1307,1.0,2.4
1276,1.0,1.2000000000000002
1202,1.0,4.9
1724,1.0,7.5
1590,1.0,4.7
1708,1.0,1.1
1858,1.0,6.1
1030,1.0,2.6
1906,1.0,4.7
1240,1.0,4.3
1424,1.0,0.4
1969,1.0,1.0
1305,1.0,12.0
1630,1.0,0.1
1546,1.0,3.6
1476,1.0,3.3000000000000003
1642,1.0,3.3000000000000003
1759,1.0,4.9
1114,1.0,4.1
1839,1.0,2.1
1496,1.0,0.2
1001,1.0,14.399999999999999
1074,1.0,7.7
1015,1.0,0.6
1369,1.0,0.5
1494,1.0,3.4
1847,1.0,3.8000000000000003
1562,1.0,6.2
1161,1.0,4.8
1685,1.0,8.5
1490,1.0,0.30000000000000004
1492,1.0,3.9000000000000004
1345,1.0,0.3
1093,1.0,4.3999999999999995
1612,1.0,4.1
1743,1.0,6.4
