,x1,x2,x3
1219,-1.1322763,-2.0484145,0.78703296
1628,-0.17422184,-0.21133275,0.7402235
1582,-1.4473138,-2.2209709,0.7844016
1099,-1.6639098,-2.6958647,0.9763154
1486,-0.52065295,-1.0309795,0.6277147
1704,-1.1383985,-1.9575979,1.065605
1333,-0.6332003,-0.6998004,0.6337991
1218,-0.17890456,-0.31835684,0.72383404
1231,-0.9343382,-1.5015074,1.0298164
1020,-0.5844782,-0.82671726,0.7043263
1733,-0.17235492,-0.45853236,0.59675777
1036,-0.9460841,-1.169126,0.7387058
1456,-0.2012883,-0.25193244,0.94549096
1973,-0.07693233,-0.1153985,1.0307368
1836,-0.07211286,-0.20816928,0.647605
1326,-1.6398454,-2.459768,1.0605414
1714,-0.95762634,-1.4864396,0.6983079
1030,-0.65653473,-0.78480214,0.6021284
1685,-1.7208724,-2.6313086,0.82694644
1654,0.027549213,-0.008676181,0.6464222
1734,-0.52537286,-0.6880593,0.76119494
1601,-0.011217016,-0.016825523,0.76074046
1230,-0.25415313,0.018770302,0.71046406
1542,-2.2194283,-3.0291426,1.0320013
1520,-1.145932,-1.318898,0.9892381
1820,-0.6621785,-1.3432679,0.63237506
1115,-0.028136317,0.057795525,0.7015229
1194,-1.3939657,-2.1909485,1.02112
1592,-0.07190301,-0.15785453,0.59833944
1539,-0.886375,-1.3795625,0.7476876
1427,-0.19306277,-0.28959414,0.62428033
1003,-0.38406587,-1.0760988,1.0557696
1594,-0.2285409,-0.29281133,1.0501069
1746,-0.6525196,-0.9787794,0.8161813
1384,-0.014229918,-0.071344875,0.6001953
1385,-1.5324069,-2.3986104,1.0365757
1666,-0.3464521,-0.61967814,1.0874176
1450,-0.037767857,0.043348216,0.6678125
1623,-0.32728308,-0.49092463,0.8545091
1507,-3.0674405,-3.9011607,1.0639588
1157,-1.1438814,-1.4658222,0.94641477
1359,0.024459695,-0.21331045,1.1356089
1171,-0.7351293,-1.552694,0.87704736
1273,-0.158467,-0.23770049,0.74536556
1960,-0.847563,-1.2713445,0.63352966
1286,-0.7448706,-1.2173059,0.99295294
1590,-1.5658602,-1.5987904,0.96948946
1201,-0.55757695,-0.78636545,0.9984807
1686,-0.034720346,-0.05208052,0.6784788
1931,-0.22288635,-0.33432955,0.71989775
1561,-0.12667498,0.00998753,1.0566375
1229,-0.211782,-0.267673,0.608763
1305,-2.5244865,-3.7867298,0.9642971
1688,-0.9078482,-1.3617723,1.0225315
1323,-0.6163728,-0.92455924,1.0426953
1966,-0.7500141,-1.1250212,0.7749506
1500,-0.37525266,-0.512879,0.9366156
1747,-0.87321997,-1.30983,0.6437301
1008,-0.6017281,-0.8525921,1.0439517
1567,-0.9571092,-1.3356638,0.75011766
1956,0.049279574,0.02391936,0.82247853
1602,-0.51165193,-0.76747787,0.60921824
1720,-0.087742165,-0.23161325,0.6929024
1072,-1.5622588,-2.1433883,1.0320936
1550,-0.7735509,-1.0603263,1.1925718
1098,-0.9941639,-1.9912457,1.1204263
1279,-0.4386357,-0.25795355,0.76477504
1374,0.0035506696,-0.044673994,0.6624273
1034,-2.4512215,-3.5768323,1.1207249
1579,-0.85386896,-1.7308035,0.8614585
1044,0.03941209,0.009118132,0.9879423
1459,-0.550182,-0.925273,0.67436314
1223,-0.32022116,-0.43033174,0.9292259
1847,-1.0934119,-1.5901178,0.7230584
1330,-0.09691706,-0.1453756,0.66079026
1776,-0.33303085,-0.5995463,0.73439205
1506,-0.020877305,-0.43131596,0.82692945
1345,-0.35500202,-0.33250302,1.0574929
1276,-0.4080157,-0.66202354,0.621945
1331,-0.8471246,-1.0206869,0.68506396
1724,-1.780086,-2.7201293,1.0196987
1803,-1.7388623,-2.9582934,1.063982
1049,-0.99527246,-1.4929087,0.8165465
1711,0.048583623,0.022875434,0.72004265
1516,-0.38530037,-0.67795056,0.8514487
1313,-0.6106789,-0.91601837,0.6626237
1934,-0.31114438,-0.5667166,0.8109946
1259,-0.20525657,-0.40788484,0.9816021
1344,-0.3501665,-0.57524973,1.0244172
1938,0.007124153,-0.18931377,1.0249345
1936,-0.47465596,-1.0119839,0.6387041
1808,-1.2981882,-2.0472822,0.85634124
1874,-1.4697618,-2.404643,1.0558332
1119,-0.86249465,-1.343742,0.73126876
1829,-2.2590783,-3.4386172,1.043226
1961,-0.9393586,-1.4090378,0.912245
1246,-0.19563788,-0.3434568,0.56526744
1033,-0.27683118,-0.5152468,0.83109087
1772,-0.8835319,-1.3252978,1.1076381
1996,-0.5601079,-0.8401618,1.0396223
