ix,goal_cost,intv_cost
1157,1.0,4.9
1133,1.0,2.2
1996,1.0,2.4
1220,1.0,2.9000000000000004
1257,1.0,0.1
1974,1.0,1.2
1034,1.0,8.700000000000001
1460,1.0,6.699999999999999
1662,1.0,4.5
1614,1.0,0.3
1114,1.0,4.2
1552,1.0,0.1
1956,1.0,0.3
1397,1.0,1.2000000000000002
1229,1.0,0.6
1286,1.0,2.7
1607,1.0,8.4
1483,1.0,9.4
1758,1.0,1.8
1883,1.0,3.9
1109,1.0,3.1
1968,1.0,3.1999999999999997
1889,1.0,2.9000000000000004
1448,1.0,1.3
1409,1.0,0.8
1108,1.0,0.2
1665,1.0,4.0
1562,1.0,5.3
1194,1.0,4.8
1292,1.0,3.7
1926,1.0,8.1
1668,1.0,4.699999999999999
1171,1.0,3.3
1099,1.0,8.2
1131,1.0,0.8
1300,1.0,1.0
1015,1.0,1.5
1485,1.0,2.3
1344,1.0,2.0
1165,1.0,1.7000000000000002
1005,1.0,6.3999999999999995
1093,1.0,4.199999999999999
1731,1.0,5.3
1894,1.0,6.6
1522,1.0,0.8
1391,1.0,5.699999999999999
1903,1.0,7.0
1337,1.0,1.4000000000000001
1845,1.0,2.6
1014,1.0,2.2
1002,1.0,2.1
1693,1.0,5.0
1864,1.0,1.7
1578,1.0,5.3
1868,1.0,0.7
1450,1.0,0.4
1954,1.0,5.3999999999999995
1628,1.0,1.1
1904,1.0,7.699999999999999
1070,1.0,1.2
1779,1.0,1.6
1934,1.0,1.2
1554,1.0,6.199999999999999
1747,1.0,3.6
1592,1.0,0.8999999999999999
1606,1.0,2.3
1000,1.0,4.1
1084,1.0,2.8
1303,1.0,1.7000000000000002
1323,1.0,2.4
1230,1.0,1.2
1020,1.0,3.0
1100,1.0,0.5
1057,1.0,2.3000000000000003
1111,1.0,9.1
1601,1.0,0.1
1132,1.0,1.1
1089,1.0,4.5
1146,1.0,3.8000000000000003
1371,1.0,1.8
1700,1.0,2.2
1847,1.0,3.8000000000000003
1528,1.0,2.4
1044,1.0,1.1
1309,1.0,2.3
1304,1.0,3.3
1359,1.0,0.6000000000000001
1981,1.0,5.699999999999999
1634,1.0,0.9
1642,1.0,3.0
1439,1.0,5.199999999999999
1998,1.0,6.0
1501,1.0,0.9
1730,1.0,1.2000000000000002
1424,1.0,1.5
1608,1.0,0.5
1882,1.0,0.2
1542,1.0,8.1
1322,1.0,2.1
1568,1.0,7.4
