,x1,x2,x3
1692,-0.17207694,-0.5081154,-1.0243462
1111,-0.7480751,-1.3721128,-3.6163383
1326,-0.3199227,-0.729884,-1.6896521
1823,-0.08258945,-0.37388417,-0.6216525
1189,-0.62589407,-1.1888411,-3.0665233
1937,0.021671593,-0.21749261,-0.15247786
1976,0.06507063,-0.15239406,0.04281783
1665,-0.042213857,-0.3133208,-0.4399624
1695,-0.32399827,-0.73599744,-1.7079923
1235,0.15167895,-0.022481576,0.43255526
1683,-0.099056065,-0.3985841,-0.69575226
1651,0.13455194,-0.048172086,0.35548377
1010,0.10505149,-0.09242277,0.22273177
1668,-0.17178255,-0.50767386,-1.0230215
1539,0.10681251,-0.08978124,0.2306562
1680,0.06785852,-0.14821222,0.055363297
1907,0.14630559,-0.030541614,0.40837508
1714,-0.028813183,-0.29321977,-0.3796593
1145,-0.120532155,-0.43079823,-0.7923947
1558,0.14905104,-0.02642344,0.4207297
1005,-0.3074478,-0.7111717,-1.6335151
1248,-0.16943228,-0.5041484,-1.0124452
1809,0.0043703914,-0.24344441,-0.23033321
1906,-0.10820019,-0.4123003,-0.73690087
1423,-0.8377433,-1.5066149,-4.019845
1091,-0.33523226,-0.7528484,-1.7585452
1930,0.062486947,-0.15626958,0.03119123
1109,0.08724618,-0.11913073,0.14260781
1114,-0.032913685,-0.29937053,-0.39811158
1904,-0.6097827,-1.164674,-2.9940221
1642,0.12949026,-0.055764616,0.3327062
1482,-0.23778021,-0.6066703,-1.3200109
1139,-0.43238902,-0.89858353,-2.1957507
1434,-0.06121266,-0.341819,-0.52545696
1537,0.14315882,-0.035261765,0.3942147
1236,0.06293681,-0.15559478,0.033215642
1214,0.016745895,-0.22488116,-0.17464346
1016,-0.29035234,-0.6855285,-1.5565856
1398,0.16793874,0.0019081086,0.50572425
1084,0.12763864,-0.058542043,0.32437384
1579,0.023065507,-0.21540174,-0.14620519
1615,-0.059749186,-0.33962378,-0.5188713
1382,0.05142957,-0.17285565,-0.018566966
1918,-0.5374471,-1.0561707,-2.6685119
1568,-0.52403855,-1.0360578,-2.6081734
1332,-0.022516489,-0.28377473,-0.3513242
1443,-0.046886683,-0.32033002,-0.46099007
1612,-0.029454768,-0.29418215,-0.38254642
1281,0.11950636,-0.07074046,0.28777862
1519,0.15580079,-0.016298816,0.45110363
1301,-0.25865793,-0.6379869,-1.4139607
1626,0.15212712,-0.021809325,0.43457204
1211,-0.08652246,-0.3797837,-0.63935107
1457,-0.45430696,-0.93146044,-2.2943814
1319,0.12120977,-0.068185344,0.29544395
1460,-0.4651531,-0.94772965,-2.343189
1206,0.12886733,-0.056699008,0.329903
1513,-0.26563162,-0.6484474,-1.4453423
1589,-0.50102293,-1.0015345,-2.5046034
1559,0.03688234,-0.19467649,-0.084029436
1847,0.0032940507,-0.24505892,-0.2351768
1738,-0.6464646,-1.2196969,-3.1590905
1911,0.03202051,-0.20196924,-0.10590768
1296,-0.12851846,-0.4427777,-0.8283331
1808,-0.1490941,-0.47364116,-0.9209235
1119,0.11875269,-0.07187097,0.28438717
1590,-0.1329301,-0.44939515,-0.8481854
1838,-0.11789733,-0.426846,-0.78053796
1476,0.08399725,-0.124004126,0.12798762
1466,-0.43973446,-0.9096017,-2.228805
1293,0.0035274923,-0.24470876,-0.23412627
1546,0.02318117,-0.21522824,-0.14568472
1977,0.032854915,-0.20071763,-0.102152884
1791,-0.04838425,-0.32257637,-0.4677291
1916,-0.34461743,-0.76692617,-1.8007784
1231,0.032830894,-0.20075366,-0.10226095
1385,-0.26620346,-0.6493052,-1.4479156
1693,-0.14751947,-0.4712792,-0.9138376
1883,0.06108871,-0.15836693,0.024899185
1391,0.070123404,-0.1448149,0.065555334
1353,-0.14524186,-0.46786278,-0.90358835
1278,-0.0018898249,-0.25283474,-0.2585042
1578,-0.25647432,-0.6347115,-1.4041345
1853,-0.21728593,-0.5759289,-1.2277868
1267,-0.35188568,-0.7778285,-1.8334856
1739,-0.16167247,-0.4925087,-0.9775261
1570,-0.35429382,-0.78144073,-1.8443222
1549,-0.13532668,-0.45299003,-0.85897005
1978,-0.23994482,-0.6099172,-1.3297517
1099,-0.6319549,-1.1979324,-3.0937972
1580,-0.18191284,-0.5228692,-1.0686078
1127,0.015775621,-0.22633657,-0.17900968
1093,-0.06838596,-0.35257894,-0.5577368
1245,0.0017558932,-0.24736616,-0.24209845
1582,-0.2736569,-0.6604854,-1.481456
1947,0.054159045,-0.16876143,-0.0062842965
1051,-0.0864678,-0.3797017,-0.6391051
1724,-0.44004303,-0.9100646,-2.2301936
1802,0.1656071,-0.0015893579,0.49523187
1903,-0.46345663,-0.94518495,-2.3355548
