,0
1099,0.0
1666,0.0
1220,0.0
1714,0.0
1708,0.0
1190,0.0
1051,0.0
1954,0.0
1239,0.0
1436,0.0
1520,0.0
1602,0.0
1649,0.0
1005,0.0
1093,0.0
1488,0.0
1002,0.0
1568,0.0
1206,0.0
1074,0.0
1098,0.0
1911,0.0
1369,0.0
1533,0.0
1581,0.0
1804,0.0
1623,0.0
1559,0.0
1626,0.0
1447,0.0
1000,0.0
1928,0.0
1308,0.0
1896,0.0
1415,0.0
1283,0.0
1802,0.0
1299,0.0
1194,0.0
1685,0.0
1606,0.0
1020,0.0
1958,0.0
1226,0.0
1688,0.0
1333,0.0
1424,0.0
1245,0.0
1537,0.0
1873,0.0
1859,0.0
1671,0.0
1428,0.0
1579,0.0
1203,0.0
1048,0.0
1491,0.0
1578,0.0
1966,0.0
1293,0.0
1250,0.0
1238,0.0
1820,0.0
1326,0.0
1313,0.0
1659,0.0
1405,0.0
1781,0.0
1255,0.0
1933,0.0
1214,0.0
1845,0.0
1284,0.0
1542,0.0
1030,0.0
1647,0.0
1111,0.0
1296,0.0
1981,0.0
1305,0.0
1278,0.0
1476,0.0
1379,0.0
1482,0.0
1851,0.0
1357,0.0
1959,0.0
1629,0.0
1332,0.0
1495,0.0
1127,0.0
1717,0.0
1301,0.0
1739,0.0
1272,0.0
1720,0.0
1590,0.0
1216,0.0
1298,0.0
1519,0.0
