,x1,x2,x3
1618,-0.1,0.1,0.2
1674,-0.1,-0.0,3.6
1227,0.2,0.5,1.5
1865,0.0,0.2,1.0
1816,0.0,-0.0,3.6
1817,0.0,-0.1,1.1
1797,0.0,-0.0,1.9
1697,-0.1,0.2,4.4
1642,0.1,-0.0,3.4
1726,-0.0,-0.0,1.0
1214,-0.0,0.0,4.6
1922,0.1,0.1,1.2
1287,0.0,-0.0,1.2
1150,0.1,0.1,4.4
1594,0.0,-0.0,2.4
1277,0.0,0.6,1.2
1302,0.0,0.0,5.0
1111,0.0,-0.1,1.8
1617,-0.2,0.6,1.4
1562,-0.2,-0.3,2.3
1045,0.0,0.0,1.1
1520,-0.3,0.1,1.2
1143,0.0,0.2,0.6
1994,0.0,0.0,2.7
1103,-0.3,0.2,2.7
1030,0.2,-0.1,4.6
1793,-0.0,0.0,0.5
1269,0.0,0.1,0.3
1216,0.1,0.0,3.1
1071,-0.4,-0.1,2.7
1398,0.1,0.1,2.1
1733,0.1,0.1,1.0
1130,-0.0,0.2,0.4
1962,0.0,0.4,1.3
1485,0.1,-0.2,3.3
1329,-0.0,-0.0,2.8
1029,0.0,-0.1,0.4
1072,0.0,0.1,1.1
1267,-0.4,0.0,2.0
1650,2.1,-0.0,-0.0
1311,0.0,0.1,1.3
1284,0.0,-0.1,3.0
1205,-0.3,0.5,1.0
1842,0.0,0.2,2.0
1791,0.0,0.0,3.6
1087,0.1,-0.1,4.1
1798,-0.0,-0.0,1.9
1476,-0.0,-0.0,0.8
1560,-0.1,-0.1,4.8
1014,-0.0,-0.0,2.9
1331,-0.2,0.1,2.7
1233,3.1,0.0,0.0
1290,-0.1,0.2,0.3
1807,0.0,0.0,1.7
1657,-0.0,-0.0,2.7
1537,0.0,0.5,2.7
1295,-0.2,0.0,3.2
1387,0.2,0.3,0.5
1707,-0.7,-0.2,2.7
1746,-0.1,0.0,1.5
1591,0.0,0.6,1.2
1327,-0.0,0.0,1.7
1571,0.0,-0.1,1.2
1196,-0.0,-0.1,0.7
1046,-0.1,0.1,0.6
1924,0.0,0.1,7.7
1189,0.1,0.1,3.0
1888,-0.0,-0.0,1.3
1535,-0.0,-0.1,1.5
1186,-0.1,-0.2,2.5
1528,0.0,0.6,0.3
1708,-0.0,-0.1,5.0
1911,-0.1,0.2,2.7
1067,0.0,0.1,2.6
1198,-0.1,0.2,1.7
1964,-0.0,0.1,0.9
1953,-0.0,0.2,3.5
1182,1.4,0.0,0.0
1168,-0.8,-1.1,2.2
1036,0.8,3.0,0.0
1253,-0.5,-0.2,1.4
1356,0.1,0.1,4.2
1913,0.0,0.1,0.9
1418,-0.2,-0.1,2.1
1899,0.0,-0.0,2.1
1574,-0.5,0.0,3.0
1891,0.0,0.0,0.5
1274,0.0,1.2,2.6
1973,-0.3,-0.1,1.5
1680,0.1,-0.3,4.7
1552,0.1,0.1,0.7
1536,-0.8,0.1,0.5
1025,0.1,-0.1,0.9
1257,0.1,0.5,1.2
1624,0.1,0.3,0.5
1076,-0.0,-0.0,5.3
1070,-0.0,0.3,2.2
1434,0.0,0.0,3.8
1081,1.4,1.7,-0.0
1992,-0.7,-0.1,2.8
