,x1,x2
1923,2.6,3.3
1696,1.3,1.6
1565,1.7,2.1
1503,2.1,2.6
1973,1.3,1.8
1617,1.3,2.0
1100,2.1,0.0
1900,1.9,-0.0
1858,1.9,2.5
1655,1.8,3.6
1757,2.5,3.1
1773,2.7,0.0
1344,2.8,3.6
1537,2.5,0.0
1935,2.1,-0.0
1639,2.4,0.0
1961,2.3,-0.0
1197,1.8,2.2
1859,2.0,-0.0
1924,3.9,5.7
1077,2.4,3.0
1366,1.6,2.0
1414,1.7,-0.0
1457,3.1,3.7
1797,1.7,2.1
1386,1.8,2.3
1214,3.0,3.8
1911,2.3,-0.0
1606,2.0,2.5
1971,2.9,3.7
1519,2.2,2.7
1819,2.1,-0.0
1431,1.6,1.9
1864,1.6,2.0
1438,2.3,-0.0
1464,1.8,2.2
1683,1.8,0.0
1575,3.3,4.1
1955,2.1,-0.0
1435,2.2,2.7
1740,1.9,2.3
1253,1.6,0.0
1680,2.7,3.5
1952,1.3,1.8
1645,3.4,0.0
1708,3.1,3.8
1742,2.3,0.0
1097,4.4,0.0
1560,2.5,3.2
1652,1.8,0.0
1942,2.2,0.0
1028,2.5,3.1
1276,2.0,2.5
1569,3.0,0.0
1607,2.1,3.1
1093,1.7,0.0
1872,2.7,0.0
1443,1.4,1.7
1994,2.3,0.0
1133,1.8,1.9
1291,2.8,-0.0
1769,1.8,3.1
1379,3.7,-0.0
1561,2.4,0.0
1675,2.1,2.6
1026,1.8,-0.0
1709,2.2,0.0
1926,2.1,-0.0
1495,2.3,2.8
1331,2.3,-0.0
1201,1.8,2.2
1938,2.1,-0.0
1427,1.5,3.1
1523,1.7,2.8
1044,2.2,2.8
1189,2.3,0.0
1646,0.8,3.8
1070,1.9,2.2
1836,2.5,3.2
1102,2.4,4.0
1746,1.5,0.0
1539,2.5,3.2
1831,2.2,-0.0
1383,2.8,3.5
1658,2.6,3.2
1588,2.9,3.6
1178,2.0,-0.0
1131,2.7,-0.0
1258,2.2,2.7
1532,2.5,3.0
1567,1.8,-0.0
1166,2.6,2.5
1388,2.9,3.6
1661,1.9,2.0
1717,1.9,2.4
1033,1.6,-0.0
1821,3.7,4.3
1625,2.0,0.0
1633,2.2,-0.0
1146,2.4,0.0
