,h_post,h_post_individualized
1336,0.54246175,
1541,0.9802366,
1772,0.5962445,
1236,0.97275275,
1474,0.6454032,
1978,0.8657562,
1693,0.60116094,
1373,0.8672472,
1158,0.8053881,
1280,0.6122052,
1250,0.7184622,
1556,0.63770175,
1743,0.88474566,
1746,0.87417036,
1863,0.6992943,
1688,0.6406505,
1975,0.75451696,
1316,0.8939451,
1647,0.7276684,
1980,0.960366,
1538,0.50752974,
1645,0.9204823,
1818,0.6590164,
1238,0.5884874,
1470,0.93535745,
1202,0.9581402,
1910,0.9620661,
1284,0.742042,
1889,0.80478173,
1084,0.74732727,
1452,0.94162816,
1652,0.9277838,
1996,0.8687336,
1630,0.74758536,
1607,0.9162099,
1099,0.63774925,
1720,0.89980155,
1847,0.94417554,
1502,0.87401956,
1436,0.9841322,
1010,0.57175,
1403,0.78356636,
1222,0.5858039,
1637,0.56522185,
1736,0.5553691,
1934,0.97671705,
1385,0.75834304,
1014,0.9889499,
1331,0.5079688,
1298,0.6976625,
1695,0.9752989,
1907,0.5542021,
1602,0.9734214,
1212,0.8605219,
1687,0.7812748,
1512,0.9082632,
1057,0.7092794,
1680,0.9586637,
1821,0.8963081,
1170,0.9309459,
1089,0.50513023,
1157,0.920103,
1374,0.9413366,
1741,0.70581937,
1353,0.66723806,
1998,0.8053226,
1659,0.9858294,
1642,0.76644075,
1768,0.5056898,
1658,0.66773564,
1728,0.972333,
1463,0.93946236,
1218,0.9114671,
1276,0.8969637,
1085,0.98680294,
1906,0.9425613,
1879,0.9755295,
1838,0.8791851,
1415,0.7601535,
1031,0.78922397,
1947,0.6246846,
1301,0.51887506,
1154,0.9327294,
1750,0.7162225,
1654,0.78644496,
1634,0.98220265,
1968,0.5401937,
1742,0.9711801,
1662,0.8569674,
1234,0.9852449,
1425,0.5222074,
1244,0.9606243,
1567,0.6763048,
1379,0.76401305,
1296,0.78620356,
1072,0.98890364,
1131,0.72151273,
1094,0.62201965,
1338,0.65387803,
1473,0.851685,
