,x1,x2,x3
1219,-1.0322763,-1.5484145,1.087033
1628,-0.27422184,-0.31133276,0.64022356
1582,-1.5473138,-2.0209708,0.68440163
1099,-2.4639099,-3.4958646,1.0763154
1486,-0.620653,-0.9309795,0.8277147
1704,-1.2383986,-1.7575978,1.065605
1333,-0.43320027,-0.6998004,0.83379906
1218,-0.17890456,-0.31835684,0.52383405
1231,-0.9343382,-1.4015074,0.6298164
1020,-0.48447818,-0.72671723,0.5043263
1733,-0.47235492,-0.45853236,0.59675777
1036,-0.9460841,-1.3691261,0.63870585
1456,-0.0012883038,-0.051932454,0.34549093
1973,-0.17693233,-0.015398497,0.4307368
1836,0.027887141,-0.008169288,0.347605
1326,-1.6398454,-2.459768,0.9605414
1714,-1.1576264,-1.0864396,0.6983079
1030,-0.65653473,-0.8848021,1.0021284
1685,-1.7208724,-2.6313086,1.4269464
1654,0.027549213,-0.008676181,0.54642224
1734,-0.72537285,-0.5880593,0.5611949
1601,-0.011217016,-0.016825523,0.36074045
1230,-0.25415313,-0.3812297,0.71046406
1542,-2.4194283,-2.9291425,0.6320013
1520,-0.945932,-1.318898,0.7892381
1820,-0.76217854,-1.1432679,0.63237506
1115,-0.028136317,0.057795525,0.30152288
1194,-1.3939657,-1.8909485,0.72112
1592,-0.07190301,0.04214548,0.29833946
1539,-0.68637496,-1.0795624,1.0476875
1427,0.006937233,-0.08959415,0.42428032
1003,-0.6840659,-0.9760988,0.55576956
1594,-0.3285409,-0.49281132,0.85010684
1746,-0.9525196,-0.7787794,1.0161812
1384,-0.21422991,-0.27134487,0.50019526
1385,-1.5324069,-2.2986104,0.8365757
1666,-0.3464521,-0.41967812,0.48741764
1450,-0.037767857,0.043348216,0.6678125
1623,-0.32728308,-0.49092463,0.6545091
1507,-2.9674404,-4.601161,1.0639588
1157,-1.3438815,-2.1658223,0.7464148
1359,-0.1755403,-0.21331045,0.9356089
1171,-0.8351293,-1.252694,1.0770473
1273,-0.158467,-0.23770049,0.44536555
1960,-1.347563,-1.7713445,0.9335297
1286,-0.4448706,-1.0173059,0.8929529
1590,-1.2658602,-1.8987904,0.76948947
1201,-0.35757697,-0.58636546,0.69848067
1686,-0.034720346,0.047919482,0.4784788
1931,-0.32288635,-0.43432954,0.51989776
1561,-0.12667498,-0.19001247,1.0566375
1229,-0.111782,-0.16767299,0.50876296
1305,-2.5244865,-3.3867297,1.0642971
1688,-0.9078482,-1.3617723,0.72253144
1323,-0.91637284,-1.0245593,0.44269523
1966,-0.9500141,-0.8250212,0.47495064
1500,-0.27525267,-0.312879,0.63661563
1747,-0.97322,-1.40983,0.54373014
1008,-0.50172806,-0.65259206,0.7439518
1567,-0.85710925,-1.3356639,0.5501177
1956,0.049279574,0.023919357,0.4224785
1602,-0.61165196,-0.8674779,1.0092182
1720,-0.18774217,-0.33161324,0.3929024
1072,-1.0622588,-1.4433883,0.6320936
1550,-0.7735509,-1.1603264,0.69257176
1098,-0.9941639,-1.4912457,0.6204263
1279,-0.038635705,-0.15795356,0.664775
1374,-0.09644933,-0.044674,0.76242733
1034,-2.3512216,-3.5768323,0.92072487
1579,-0.85386896,-1.3308035,0.56145847
1044,-0.060587913,0.00911813,0.2879423
1459,-0.550182,-0.825273,0.5743631
1223,-0.32022116,-0.43033174,0.42922592
1847,-1.0934119,-1.2901177,0.5230584
1330,0.003082937,-0.045375593,0.36079025
1776,-0.23303086,-0.3995463,0.6343921
1506,-0.3208773,-0.031315964,0.32692942
1345,-0.35500202,-0.532503,1.0574929
1276,-0.5080157,-0.36202356,0.32194504
1331,-0.24712457,-0.52068686,0.88506395
1724,-1.8800861,-2.8201292,0.9196987
1803,-1.4388623,-2.3582935,1.063982
1049,-0.99527246,-1.2929087,0.91654646
1711,0.048583623,0.022875434,0.72004265
1516,-0.68530035,-0.67795056,0.5514487
1313,-0.71067894,-1.0160184,0.5626237
1934,-0.5111444,-0.5667166,0.41099465
1259,-0.20525657,-0.40788484,0.4816021
1344,-0.2501665,-0.47524974,1.0244172
1938,-0.19287585,-0.28931376,0.7249345
1936,-0.37465596,-0.6119839,0.6387041
1808,-1.1981882,-1.6472824,0.5563413
1874,-1.7697619,-2.6046429,1.1558332
1119,-0.86249465,-1.043742,0.5312688
1829,-2.3590782,-3.5386171,1.043226
1961,-1.0393586,-1.509038,0.712245
1246,-0.29563788,-0.44345683,0.46526742
1033,-0.57683116,-0.71524674,0.43109086
1772,-0.7835319,-1.2252978,0.80763805
1996,-0.5601079,-0.9401618,0.8396223
