,h_post,h_post_individualized
1486,0.9688895,
1313,0.9688918,
1612,0.9554345,
1089,0.95233953,
1299,0.96194416,
1002,0.96996003,
1558,0.96584815,
1437,0.9300948,
1005,0.91501814,
1733,0.97558296,
1655,0.9751386,
1839,0.9777132,
1253,0.9487355,
1114,0.95930415,
1020,0.97555155,
1518,0.97479504,
1746,0.9716413,
1385,0.9404562,
1704,0.94226617,
1578,0.93693095,
1688,0.9642878,
1550,0.9638499,
1306,0.9761326,
1777,0.92687166,
1106,0.97258854,
1683,0.9570675,
1768,0.14107053,
1316,0.93312275,
1362,0.97308916,
1111,0.5634441,
1750,0.9510886,
1255,0.9719934,
1204,0.96193963,
1622,0.93824875,
1954,0.9651716,
1507,0.11853147,
1911,0.9660693,
1791,0.95725924,
1966,0.9646244,
1981,0.9324207,
1382,0.95913947,
1278,0.9545515,
1693,0.9484864,
1684,0.97483134,
1845,0.9741761,
1823,0.9540953,
1288,0.96790546,
1959,0.9671731,
1863,0.9732357,
1977,0.9573433,
1528,0.9683017,
1127,0.9626823,
1516,0.97536796,
1459,0.9708539,
1439,0.94633746,
1240,0.95746803,
1214,0.9627489,
1353,0.9384198,
1361,0.94668126,
1226,0.96629345,
1808,0.94833946,
1880,0.97019964,
1449,0.9755368,
1057,0.9709625,
1272,0.10689119,
1741,0.9637507,
1219,0.9466209,
1818,0.96747386,
1689,0.97120386,
1724,0.8650877,
1289,0.96512014,
1747,0.964999,
1238,0.89810705,
1804,0.9558648,
1627,0.95433676,
1231,0.9574536,
1267,0.92481124,
1326,0.92956537,
1157,0.9512597,
1322,0.9737128,
1916,0.92492795,
1161,0.9464945,
1567,0.9704724,
1890,0.9581089,
1572,0.9711118,
1879,0.9415838,
1838,0.9516163,
1296,0.9329345,
1502,0.9561088,
1762,0.96992517,
1062,0.96179867,
1216,0.97586757,
1036,0.96065146,
1309,0.97194684,
1292,0.95559675,
1734,0.9750455,
1904,0.8630463,
1651,0.9655571,
1308,0.9752611,
1926,0.8835113,
