ix,goal_cost,intv_cost
1687,1.0,3.9
1648,1.0,4.1
1040,1.0,1.7000000000000002
1989,1.0,3.5
1484,1.0,3.0
1457,1.0,5.199999999999999
1459,1.0,1.0
1716,1.0,0.30000000000000004
1611,1.0,3.5
1933,1.0,2.4
1606,1.0,4.6
1871,1.0,3.9
1565,1.0,1.7000000000000002
1364,1.0,2.0
1797,1.0,1.7
1842,1.0,1.5999999999999999
1896,1.0,5.5
1356,1.0,7.300000000000001
1713,1.0,1.4
1111,1.0,1.6
1281,1.0,2.7
1821,1.0,10.600000000000001
1391,1.0,0.1
1690,1.0,0.4
1397,1.0,0.5
1625,1.0,1.6
1366,1.0,3.4
1010,1.0,3.1
1870,1.0,1.0
1360,1.0,1.2000000000000002
1961,1.0,2.0
1922,1.0,0.8
1814,1.0,4.1000000000000005
1999,1.0,0.1
1658,1.0,4.0
1864,1.0,2.2
1587,1.0,5.699999999999999
1201,1.0,3.5999999999999996
1223,1.0,1.8000000000000003
1998,1.0,11.4
1736,1.0,1.4
1591,1.0,1.0
1065,1.0,3.9
1953,1.0,3.0
1097,1.0,2.6
1883,1.0,3.2
1197,1.0,1.6
1287,1.0,0.7
1820,1.0,0.1
1923,1.0,3.8000000000000003
1562,1.0,4.1
1840,1.0,3.5999999999999996
1076,1.0,6.3
1664,1.0,1.4
1464,1.0,1.9
1034,1.0,3.0
1352,1.0,0.6000000000000001
1861,1.0,1.7000000000000002
1362,1.0,2.6
1968,1.0,2.1
1319,1.0,2.8
1418,1.0,1.3
1661,1.0,3.3000000000000003
1388,1.0,5.8
1195,1.0,0.7
1373,1.0,1.3
1778,1.0,4.0
1709,1.0,4.1
1310,1.0,1.0
1071,1.0,3.7
1914,1.0,3.3000000000000003
1302,1.0,1.4
1983,1.0,0.4
1203,1.0,1.6
1030,1.0,4.0
1680,1.0,4.3999999999999995
1274,1.0,2.2
1942,1.0,4.0
1376,1.0,0.6000000000000001
1369,1.0,3.1
1532,1.0,3.5000000000000004
1168,1.0,2.5
1995,1.0,0.7000000000000001
1036,1.0,2.9
1363,1.0,3.0
1312,1.0,6.1000000000000005
1414,1.0,1.4000000000000001
1147,1.0,0.6
1931,1.0,5.5
1462,1.0,0.2
1865,1.0,0.6000000000000001
1145,1.0,2.5
1401,1.0,2.9
1632,1.0,0.9
1675,1.0,3.0
1276,1.0,4.5
1537,1.0,2.5
1316,1.0,1.6
1655,1.0,3.2
1805,1.0,0.6000000000000001
