,x1,x2,x3
1679,1.2515562,1.1144452,3.0917795
1386,1.2701185,1.062648,2.9178257
1110,1.2678598,0.93482476,2.5366144
1835,1.1756308,0.9695385,2.7329848
1983,1.1876771,1.1095964,3.141112
1112,1.2641157,1.1801445,3.276318
1569,1.2691969,0.8364961,2.2402916
1438,1.2146012,1.5682514,3.290153
1162,1.257066,1.5463325,3.3819315
1434,1.1898937,0.81236714,2.2472076
1006,1.2037646,1.2047057,3.4103525
1495,1.2915593,1.5644492,3.2017882
1128,1.2389077,1.0736346,2.9819963
1659,1.5851123,1.2063904,3.0340588
1795,1.2683184,1.260398,3.5128758
1343,1.245486,1.2318575,3.4500866
1231,1.1957285,1.5946608,3.1882536
1529,1.2720047,1.015006,2.773013
1793,1.2224815,1.2031019,3.3868241
1404,1.1839815,1.154977,3.280949
1642,1.2096059,1.6120075,3.2264163
1285,1.1735982,1.1419977,3.2523952
1824,1.1750287,0.7937858,2.2063289
1454,1.2063662,1.1829578,3.342507
1737,1.2676898,1.1846123,3.2861469
1176,1.2676834,1.2096043,3.3611295
1605,1.2011464,1.176433,3.3281524
1674,1.2530471,0.94130886,2.5708795
1087,1.5774415,1.1968018,3.012964
1926,1.2558151,1.0447689,2.8784914
1468,0.75082284,1.9885285,3.2147627
1202,1.2604065,1.2005081,3.3411179
1373,1.344091,1.2051138,3.2712502
1886,1.2338046,0.9672557,2.6679626
1306,1.308348,1.0854349,2.9479568
1400,1.3439187,1.4798982,2.6957765
1711,1.2772361,1.5465451,3.362399
1067,1.2987881,1.0734851,2.921667
1906,1.2630404,1.4788005,3.1733613
1111,1.2853264,1.131658,3.1096478
1460,1.2108976,1.113622,3.1299682
1439,1.3030697,1.1788372,3.2334418
1742,1.2418638,0.97732985,2.6901255
1146,0.76598287,1.9824786,3.181453
1263,1.217521,1.1219012,3.1481826
1902,1.191016,0.98876995,2.775294
1329,1.1792631,0.9240789,2.5929737
1284,1.2665619,0.98320234,2.6830454
1658,1.2492297,0.8365371,2.2603817
1901,1.2579509,1.1724386,3.2593648
1942,1.2239717,1.0049647,2.7909226
1733,1.2250574,1.1313217,3.1689076
1075,1.2230196,0.9037745,2.488304
1045,1.2609597,1.2511997,3.4926393
1234,1.2660844,1.5076054,3.056732
1077,1.259139,1.4989235,3.037632
1427,1.2689178,1.0111473,2.764524
1752,1.2549608,1.193701,3.3261423
1565,-0.48314577,3.2460678,3.421349
1178,1.2652018,1.1315023,3.1293051
1370,1.2390885,1.0238607,2.8324935
1563,1.2839524,1.0799404,2.9558687
1002,1.2174352,1.171794,3.297947
1633,1.1847234,0.9809042,2.7579892
1989,-0.5087589,3.3390512,3.1259127
1361,1.2569721,1.171215,3.256673
1331,1.1959326,0.9449158,2.6388147
1766,1.2152382,1.0940478,3.066905
1103,1.2309898,0.9887373,2.735222
1170,1.2126889,0.8658612,2.3848946
1209,1.2097772,1.1122215,3.1268873
1999,1.3021338,1.5276673,3.680868
1771,1.2425073,1.1281341,3.1418953
1383,0.29480094,2.6185012,2.9607027
1769,1.1748941,0.86861765,2.430959
1420,1.2509865,1.5637331,3.0402129
1105,1.2482274,1.0602843,2.9326255
1036,1.2328813,0.9411017,2.5904238
1798,1.2001188,1.0251485,2.8753269
1224,1.2829342,1.1536677,3.1780689
1167,1.2214663,1.1518329,3.2340324
1459,1.2629157,1.1536447,3.198018
1347,1.2657853,1.1572317,3.2059097
1398,1.2316155,1.0645194,2.9619427
1635,1.2214438,1.1018047,3.0839703
1072,1.2968795,1.1960994,3.2914188
1147,1.2288483,1.1360605,3.1793332
1892,1.2702863,1.5378579,3.1432872
1934,1.2624431,1.0780538,2.9717185
1931,1.3777568,1.4471961,2.7638316
1872,1.2717699,1.0647124,2.9223676
1811,1.2793996,1.0992496,3.0183492
1320,1.2536222,1.6420279,3.0724611
1532,1.2874614,0.9093268,2.4405189
1470,1.2249533,0.9061916,2.4936213
1567,1.2868276,1.5335344,3.5137758
1376,1.2090168,1.111271,3.1247962
1976,1.2536513,1.2420641,3.4725409
1900,1.211325,1.5391563,3.4061441
1362,1.3294219,1.6867775,2.7309105
