,x1,x2
1959,2.2,3.3
1542,3.5,5.3
1464,1.7,-0.0
1643,1.5,-0.0
1736,1.6,-0.0
1733,1.8,0.0
1457,2.7,5.3
1687,1.9,2.9
1332,2.5,0.0
1379,2.2,0.0
1216,1.8,2.6
1226,2.2,0.0
1916,3.0,4.4
1539,2.8,-0.0
1439,2.8,-0.0
1647,1.7,0.0
1594,1.7,-0.0
1772,2.3,0.0
1935,1.5,-0.0
1244,1.9,-0.0
1301,2.8,4.2
1211,2.6,0.0
1961,2.3,3.4
1236,2.4,-0.0
1491,1.9,-0.0
1747,2.3,0.0
1883,2.2,3.2
1078,2.1,0.0
1541,1.6,-0.0
1412,1.4,0.0
1572,2.0,0.0
1453,1.9,0.0
1282,2.4,-0.0
1494,2.2,3.3
1519,2.1,0.0
1976,2.0,3.4
1791,2.8,-0.0
1839,2.0,-0.0
1739,2.7,0.0
1869,1.5,2.3
1856,1.8,-0.0
1467,2.1,0.0
1717,3.1,-0.0
1864,1.9,0.0
1983,2.2,0.0
1115,1.4,-0.0
1759,2.7,-0.0
1354,1.7,-0.0
1333,1.9,2.7
1808,2.7,0.0
1868,1.5,0.0
1283,2.4,-0.0
1362,-0.1,4.5
1977,2.5,-0.0
1809,2.6,-0.0
1303,1.9,0.0
1558,2.1,0.0
1436,1.9,0.0
1007,1.7,-0.0
1538,1.7,-0.0
1518,2.0,0.0
1658,1.5,0.0
1199,1.9,0.0
1219,2.5,0.0
1071,0.0,0.0
1345,1.8,0.0
1913,1.4,2.2
1500,2.7,1.2
1369,1.9,-0.0
1079,1.5,-0.0
1561,1.5,-0.0
1965,1.6,-0.0
1951,1.7,-0.0
1072,0.9,5.2
1825,1.5,2.2
1001,3.6,6.1
1934,0.2,3.8
1728,1.6,0.0
1580,2.6,4.0
1174,0.1,4.7
1201,1.8,2.7
1323,1.9,2.9
1459,2.0,-0.0
1161,2.8,0.0
1231,2.2,3.4
1248,2.8,-0.0
1371,2.0,-0.0
1762,2.0,0.0
1637,5.5,8.3
1794,2.2,-0.0
1234,1.6,-0.0
1512,1.7,-0.0
1537,2.1,0.0
1894,3.1,4.8
1568,3.2,5.1
1972,1.7,-0.0
1366,3.3,0.0
1863,2.0,0.0
1522,1.6,0.0
1397,1.5,0.0
