,y
3350,0.0
2832,0.0
3812,0.0
3499,0.0
3212,0.0
2741,0.0
2276,0.0
3970,0.0
3694,0.0
2313,0.0
3722,0.0
3139,0.0
2444,0.0
3950,0.0
3887,0.0
2746,0.0
2921,0.0
2353,0.0
3387,1.0
2456,0.0
3050,0.0
3418,0.0
3832,0.0
2668,0.0
3997,0.0
3075,0.0
3293,0.0
3474,1.0
3018,0.0
3618,0.0
2810,0.0
3774,0.0
3205,0.0
3527,0.0
2508,0.0
2540,0.0
3227,0.0
3953,0.0
2316,0.0
2714,0.0
2479,0.0
2791,0.0
3173,0.0
3140,0.0
2806,1.0
2517,0.0
3109,0.0
3461,0.0
2202,0.0
3534,0.0
2778,0.0
3619,0.0
3593,0.0
3892,0.0
2858,0.0
3969,0.0
2699,0.0
2230,0.0
2672,0.0
3153,0.0
2219,0.0
2887,0.0
2589,0.0
3738,0.0
2664,0.0
2489,0.0
2059,0.0
3615,0.0
3506,0.0
2044,0.0
3890,1.0
3399,0.0
3191,0.0
3512,0.0
2477,0.0
2307,0.0
3824,0.0
3919,0.0
2861,0.0
3522,0.0
2961,0.0
3978,0.0
3529,0.0
3226,0.0
2428,0.0
2840,0.0
3423,0.0
3849,0.0
3995,0.0
2775,0.0
2586,1.0
2194,0.0
3067,0.0
3351,0.0
2883,0.0
3541,0.0
3441,0.0
2452,0.0
2234,0.0
2356,0.0
3091,0.0
3837,0.0
2261,0.0
3198,0.0
3421,0.0
3427,0.0
3468,0.0
3493,0.0
3782,0.0
3244,0.0
3835,1.0
2200,0.0
2252,0.0
2737,0.0
3371,0.0
2186,0.0
3287,0.0
3675,0.0
2463,0.0
3443,0.0
3195,0.0
2416,0.0
3335,0.0
3936,0.0
3116,0.0
3035,0.0
3905,0.0
2531,0.0
3021,0.0
3243,0.0
2716,0.0
2584,0.0
3831,0.0
3710,0.0
2738,0.0
3157,0.0
3623,0.0
2918,0.0
2421,1.0
3886,0.0
2334,0.0
2136,0.0
2377,0.0
3721,0.0
3851,0.0
2386,0.0
2057,0.0
3273,0.0
3558,0.0
3255,0.0
3103,0.0
3825,0.0
3223,0.0
3312,0.0
2439,0.0
2075,0.0
3463,0.0
2872,0.0
3511,0.0
3988,0.0
2703,0.0
2138,0.0
3697,0.0
3484,0.0
2199,0.0
2504,0.0
3798,0.0
2629,0.0
2438,0.0
3855,0.0
2240,0.0
2684,0.0
2081,0.0
2148,1.0
2454,0.0
2665,0.0
3490,0.0
3291,0.0
2538,0.0
2172,0.0
2001,1.0
2325,0.0
3254,0.0
2008,0.0
2308,0.0
3206,0.0
2863,0.0
2097,0.0
2021,0.0
2845,0.0
2888,0.0
3605,0.0
2445,0.0
2518,0.0
3325,0.0
2530,0.0
2422,0.0
3994,0.0
3531,0.0
3185,0.0
