ix,goal_cost,intv_cost
2050,0.991,15.0
2328,0.897,15.0
3817,0.816,5.0
3928,0.936,5.0
3730,0.879,15.0
3500,0.978,5.0
2316,0.88,15.0
2357,0.962,10.0
3903,0.972,10.0
3561,0.994,15.0
2295,0.987,5.0
2291,0.935,5.0
3099,0.913,5.0
2636,0.921,5.0
3972,0.937,5.0
2120,0.925,5.0
2498,0.841,5.0
3911,0.878,15.0
2017,0.977,5.0
3992,0.974,5.0
2228,0.971,10.0
2997,0.992,15.0
3126,0.991,15.0
2878,0.994,15.0
2334,0.962,15.0
3075,0.947,10.0
3133,0.964,5.0
2749,0.996,15.0
3865,0.875,10.0
2674,0.934,5.0
3567,0.948,5.0
2416,0.946,5.0
3548,0.873,15.0
2423,0.967,5.0
3323,0.993,15.0
2930,0.949,10.0
3368,0.756,10.0
2974,0.863,5.0
3588,0.983,5.0
2127,0.996,10.0
3390,0.952,10.0
3431,0.997,10.0
2309,0.873,15.0
2989,0.949,5.0
2565,0.833,5.0
3257,0.942,5.0
3277,0.85,5.0
2908,0.962,10.0
2157,0.88,15.0
2611,0.852,5.0
3830,0.995,15.0
2466,0.949,10.0
3586,0.964,5.0
2976,0.87,5.0
2993,0.881,15.0
2428,0.846,5.0
3343,0.995,15.0
3096,0.983,15.0
3573,0.87,10.0
2024,0.923,5.0
2907,0.959,15.0
3578,0.895,15.0
3522,0.994,10.0
2516,0.889,10.0
2362,0.871,10.0
2265,0.894,10.0
3828,0.872,10.0
3468,0.95,10.0
3624,0.984,10.0
3365,0.947,10.0
3813,0.994,15.0
3268,0.866,5.0
3625,0.89,10.0
3881,0.873,15.0
3632,0.951,10.0
3551,0.991,15.0
3538,0.935,5.0
2601,0.97,5.0
3227,0.976,10.0
3255,0.964,15.0
2657,0.988,10.0
2091,0.879,10.0
3243,0.871,10.0
2386,0.989,10.0
3056,0.863,15.0
2682,0.878,10.0
2491,0.975,15.0
2957,0.866,5.0
3560,0.993,15.0
3441,0.868,10.0
2834,0.875,15.0
2062,0.86,5.0
3024,0.978,5.0
2612,0.917,5.0
3927,0.982,15.0
3921,0.975,5.0
2263,0.965,5.0
3264,0.978,10.0
2009,0.896,10.0
2846,0.848,5.0
3922,0.976,5.0
2879,0.866,5.0
2424,0.997,15.0
2785,0.89,10.0
3955,0.884,10.0
2290,0.876,15.0
3290,0.871,15.0
2821,0.975,5.0
3942,0.817,5.0
2898,0.871,15.0
3708,0.972,5.0
3394,0.982,10.0
2383,0.938,5.0
2392,0.982,15.0
3241,0.872,10.0
3181,0.987,10.0
2138,0.984,10.0
2257,0.959,10.0
2354,0.928,5.0
2310,0.982,5.0
3493,0.942,15.0
3371,0.947,10.0
2746,0.834,5.0
2995,0.88,15.0
2838,0.831,5.0
3920,0.862,15.0
2618,0.882,15.0
3669,0.993,10.0
3712,0.868,10.0
3846,0.879,10.0
2622,0.92,5.0
2399,0.989,15.0
3008,0.753,10.0
2871,0.873,15.0
2770,0.939,10.0
3834,0.931,5.0
3484,0.958,10.0
2451,0.949,15.0
3313,0.758,10.0
2892,0.896,15.0
2215,0.964,5.0
3964,0.996,10.0
2426,0.988,10.0
2874,0.891,5.0
2747,0.992,15.0
3345,0.994,15.0
3710,0.95,10.0
3205,0.9,15.0
3013,0.994,10.0
2115,0.951,10.0
2880,0.982,10.0
3386,0.963,10.0
3960,0.991,10.0
3821,0.891,15.0
2647,0.994,15.0
3344,0.995,15.0
2584,0.894,10.0
2411,0.956,10.0
2043,0.942,10.0
3214,0.994,15.0
2465,0.875,5.0
2139,0.92,5.0
2624,0.758,10.0
3472,0.751,10.0
2646,0.883,15.0
3655,0.864,5.0
3887,0.947,10.0
3749,0.935,5.0
2550,0.874,15.0
2404,0.88,10.0
3511,0.996,15.0
3953,0.883,15.0
3557,0.865,10.0
2901,0.855,5.0
2494,0.83,5.0
2143,0.88,15.0
3810,0.99,10.0
2832,0.987,10.0
3084,0.997,15.0
2748,0.758,10.0
2048,0.838,5.0
3795,0.94,5.0
3279,0.762,10.0
3719,0.874,15.0
3853,0.943,15.0
3818,0.95,10.0
3282,0.851,5.0
2511,0.961,10.0
2414,0.832,5.0
3211,0.927,5.0
3236,0.997,15.0
3979,0.996,15.0
3237,0.928,5.0
2054,0.996,15.0
2794,0.871,15.0
3773,0.994,10.0
2130,0.873,15.0
2340,0.958,10.0
2587,0.816,5.0
3492,0.979,10.0
