,h_post,h_post_individualized
2605,0.58,
2030,0.8,
3894,0.78,
2537,0.8,
3576,0.78,
3925,0.8,
2924,0.8,
2238,0.78,
2528,0.78,
2422,0.78,
2838,0.8,
3041,0.78,
3559,0.8,
2720,0.8,
3464,0.82,
3519,0.8,
3791,0.82,
2146,0.8,
2565,0.82,
3046,0.8,
3655,0.8,
2026,0.78,
2913,0.82,
2005,0.82,
2478,0.8,
3560,0.82,
3049,0.78,
3382,0.8,
2108,0.8,
3583,0.8,
3940,0.82,
3844,0.8,
3877,0.8,
2494,0.8,
3011,0.78,
3282,0.8,
2414,0.8,
3514,0.8,
3647,0.78,
3594,0.78,
2816,0.82,
2963,0.8,
2647,0.8,
3712,0.78,
3801,0.8,
3661,0.78,
3321,0.78,
2910,0.78,
3404,0.8,
3392,0.8,
3433,0.78,
2834,0.8,
2604,0.82,
3353,0.8,
3338,0.8,
3090,0.8,
3728,0.88,
2462,0.82,
2774,0.82,
2579,0.8,
2644,0.8,
2806,0.8,
3361,0.8,
2784,0.78,
2620,0.82,
3112,0.8,
2653,0.8,
2786,0.8,
3680,0.8,
3206,0.82,
2381,0.8,
2432,0.8,
2596,0.78,
3623,0.82,
3941,0.8,
2542,0.78,
3446,0.92,
3818,0.82,
3638,0.82,
3124,0.78,
3891,0.8,
2465,0.8,
3158,0.8,
3599,0.8,
3251,0.8,
2464,0.8,
3871,0.8,
2884,0.8,
2874,0.8,
2804,0.8,
2424,0.78,
2736,1.0,
2307,0.82,
3587,0.8,
2613,0.8,
3465,0.8,
2673,0.78,
3967,0.8,
3177,0.8,
3566,0.8,
3509,0.8,
3636,0.8,
2492,0.6,
3274,0.62,
3892,0.78,
3691,0.8,
3015,0.8,
3113,0.8,
2750,0.8,
3286,0.8,
2951,0.78,
2037,0.78,
2532,0.78,
3595,0.8,
2060,0.8,
3784,0.8,
2159,0.78,
3234,0.8,
3937,0.8,
2550,0.78,
2584,0.8,
2622,0.8,
3945,0.8,
2525,0.8,
2064,0.8,
3699,0.8,
3379,0.78,
2075,0.8,
2891,0.8,
2637,0.8,
2374,0.8,
3523,0.8,
2959,0.78,
3912,0.8,
3466,0.8,
3025,0.8,
2453,0.78,
3225,0.8,
3800,0.8,
3081,0.6,
2762,0.82,
2785,0.6,
2413,0.8,
3133,0.6,
3098,0.8,
3371,0.8,
2801,0.8,
3057,0.58,
3769,0.8,
3137,0.8,
2406,0.8,
3436,0.82,
3487,0.8,
2053,0.78,
2572,0.82,
3919,0.8,
3563,0.82,
2878,0.78,
2974,0.82,
3109,0.8,
3499,0.8,
2167,0.8,
3077,0.8,
2392,0.8,
3993,0.78,
2961,0.8,
2772,0.78,
2966,0.78,
2932,0.8,
2434,0.78,
3942,0.58,
2687,0.8,
3290,0.9,
3460,0.78,
2363,0.82,
2379,0.8,
2322,0.98,
2149,0.8,
2035,0.8,
2781,0.8,
2022,0.82,
2082,0.8,
3729,0.8,
2507,0.8,
2812,0.98,
2247,0.8,
2184,0.82,
3600,0.78,
3734,0.78,
3948,0.8,
3024,0.8,
2326,0.78,
2896,0.8,
2955,0.8,
2048,0.8,
3737,0.8,
2400,0.8,
2942,0.92,
3180,0.8,
2474,0.82,
