ix,goal_cost,intv_cost
16526,0.9879999756813049,1.0
18618,0.972,1.0
15091,0.9520000219345093,2.0
16013,0.992,1.0
15741,0.9819999933242798,1.0
12061,0.9919999837875366,1.0
12269,0.9739999771118164,2.0
15903,0.962,2.2
11904,0.9959999918937683,2.0
13558,0.968,2.0
14429,0.986,1.0
13428,0.9919999837875366,2.0
11168,0.9620000123977661,1.0
12726,0.9879999756813049,2.0
14460,0.954,1.4000000000000001
12319,0.954,6.4
14135,0.9620000123977661,1.0
14900,0.9800000190734863,2.0
12859,0.9679999947547913,2.0
12226,0.9900000095367432,2.0
18089,0.9760000109672546,2.0
11322,0.952,2.1
15576,0.9739999771118164,2.0
18674,0.954,2.0
13870,0.9739999771118164,2.0
11280,0.9760000109672546,2.0
15223,0.954,2.1
11636,0.952,1.7
13552,0.972000002861023,2.0
14409,0.9800000190734863,3.0
17962,0.964,2.0
10252,0.954,2.7
18723,0.9599999785423279,2.0
11100,0.9760000109672546,2.0
18319,0.9639999866485596,2.0
19078,0.952,1.2
19261,0.9919999837875366,2.0
13706,0.96,1.7
15900,0.952,1.4
14313,0.968,2.0
14613,0.952,2.2
11356,0.9860000014305115,3.0
18577,0.9819999933242798,1.0
16137,0.9620000123977661,1.0
16724,0.968,1.7
18329,0.96,2.3
13973,0.9800000190734863,2.0
17082,0.9779999852180481,1.0
19849,0.972000002861023,2.0
17666,0.962,1.4000000000000001
19985,0.9800000190734863,2.0
16802,0.956,0.2
10760,0.958,1.2
13340,0.9660000205039978,1.0
14126,0.9739999771118164,1.0
19004,0.9679999947547913,1.0
14439,0.9620000123977661,1.0
12935,0.952,1.2
13991,0.988,3.2
13549,0.9539999961853027,2.0
18930,0.9946038029912868,0.0
19029,0.9800000190734863,3.0
13820,0.9739999771118164,1.0
16054,0.96,2.4
11375,0.962,1.4000000000000001
18622,0.9760000109672546,1.0
16676,0.9760000109672546,2.0
11986,0.9520000219345093,2.0
16484,0.9539999961853027,3.0
12280,0.9700000286102295,3.0
18539,0.954,2.1
14898,0.9860000014305115,1.0
12707,0.9860000014305115,1.0
16582,0.954,1.1
10144,0.972000002861023,1.0
16579,0.9760000109672546,2.0
15656,0.9660000205039978,1.0
15879,0.9800000190734863,3.0
18219,0.962,1.1
12871,0.9700000286102295,2.0
19974,0.9819999933242798,1.0
19551,0.952,1.3
10856,0.9679999947547913,1.0
12351,0.964,2.0
11398,0.966,1.7000000000000002
17864,0.9819999933242798,2.0
12568,0.964,2.0
11324,0.9679999947547913,2.0
11731,0.96,1.1
18393,0.9599999785423279,1.0
16451,0.96,1.8
17921,0.9800000190734863,1.0
10721,0.964,0.9
19054,0.952,1.5
18592,0.9520000219345093,1.0
17044,0.9879999756813049,2.0
12238,0.972000002861023,2.0
15409,0.9860000014305115,1.0
15934,0.956,1.4
16548,0.9779999852180481,1.0
16406,0.962,2.0
15552,0.9800000190734863,1.0
16862,0.9539999961853027,2.0
19077,0.9700000286102295,2.0
15132,0.9879999756813049,2.0
12836,0.952,2.3000000000000003
14543,0.952,2.0
14979,0.9800000190734863,1.0
17809,0.9900000095367432,2.0
13871,0.952,0.8
14735,0.9580000042915344,1.0
18455,0.9599999785423279,2.0
10826,0.966,1.2000000000000002
15770,0.96,1.6
16221,0.962,2.0
15860,0.98,2.1
14357,0.952,2.3000000000000003
10232,0.9620000123977661,3.0
15977,0.974,2.0
13132,0.9679999947547913,2.0
16986,0.954,1.8
19466,0.956,2.1
19781,0.9860000014305115,2.0
13941,0.9700000286102295,3.0
10754,0.9860000014305115,2.0
18695,0.9919999837875366,3.0
18111,0.952,2.6
13154,0.9779999852180481,2.0
18966,0.9919999837875366,3.0
11384,0.956,1.9
18166,0.952,1.6
12828,0.9739999771118164,2.0
11104,0.9739999771118164,1.0
11730,0.9700000286102295,2.0
10787,0.9620000123977661,1.0
19838,0.964,1.3
12498,0.9779999852180481,1.0
